54320.52 13.678 0.016  13.615 0.029  13.488 0.021  13.553 0.035 
54321.53 13.505 0.015  13.450 0.028  13.391 0.034  13.446 0.029 
54323.53 13.323 0.021  13.269 0.048  13.190 0.018  …
54324.52 13.321 0.023  13.189 0.028  13.197 0.017  13.320 0.014 
54326.51 13.259 0.037  13.106 0.052  13.153 0.023  13.383 0.023 
54327.51 13.237 0.028  13.077 0.029  13.130 0.033  13.374 0.032 
54333.50 13.571 0.023  13.238 0.018  13.347 0.067  13.647 0.095 
54346.52 15.236 0.024  13.899 0.015  13.769 0.028  13.642 0.018 
54347.49 15.330 0.029  13.944 0.018  13.753 0.045  13.612 0.033 
54348.49 15.414 0.028  13.997 0.025  13.756 0.036  …
54349.49 15.533 0.047  14.089 0.041  13.804 0.050  …
54386.80 16.514 0.020  15.753 0.012  15.572 0.017  15.671 0.026 
54389.86 16.532 0.035  15.807 0.014  15.695 0.027  15.791 0.036 
54394.89 16.586 0.020  15.972 0.013  15.846 0.019  15.973 0.035 
54395.84 16.626 0.021  15.986 0.013  15.893 0.026  16.015 0.031 
54397.84 16.613 0.031  16.014 0.012  15.980 0.038  16.128 0.047 
54398.86 16.622 0.033  16.034 0.019  16.000 0.049  16.154 0.050 
54402.90 16.736 0.059  16.179 0.081  16.228 0.081  …
54416.88 16.857 0.016  16.551 0.020  16.612 0.017  16.643 0.056 
54424.86 17.028 0.014  16.735 0.010  16.889 0.014  16.979 0.027 
54432.86 17.174 0.033  16.961 0.022  17.120 0.020  17.145 0.035 
54456.86 17.606 0.049  17.425 0.053  17.771 0.041  17.729 0.057 
54471.86 17.845 0.023  17.861 0.032  18.301 0.044  18.218 0.086 
54474.76 17.852 0.057  17.907 0.058  18.315 0.065  18.274 0.140 
