56499.838	13.019	0.015
56516.898	12.55	0.015
56500.838	12.914	0.019
56517.797	12.577	0.021
56501.838	12.798	0.016
56518.79	12.643	0.032
56519.788	12.57	0.021
56505.862	12.593	0.014
56520.785	12.642	0.017
56506.904	12.523	0.022
56521.941	12.63	0.023
56507.874	12.535	0.018
56508.856	12.558	0.018
56523.847	12.745	0.022
56509.852	12.545	0.023
56524.808	12.748	0.023
56524.821	12.739	0.017
56512.87	12.537	0.021
56525.824	12.788	0.02
56512.9	        12.594	0.018
56513.673	12.579	0.015
56528.803	12.92	0.016
56514.674	12.538	0.016
56515.794	12.566	0.014
56532.935	12.927	0.02
