#Stritzinger et al. 2011, AJ, 142, 156
54942.80 15.432 0.006 15.351 006 
54945.76 15.357 0.007 15.287 006                                
54946.77 15.353 0.007 15.282 006 
54947.75 15.349 0.007 15.279 006 
54948.74 15.356 0.007 15.287 007 
54949.73 15.385 0.007 15.329 006 
54951.72 15.441 0.007 15.340 005 
54956.76 15.712 0.007 15.445 006 
54959.72 15.903 0.010 15.527 007 
54963.74 16.218 0.029 15.677 010 
54964.72 16.323 0.010 15.722 008 
54966.72 16.481 0.008 15.815 006 
54968.71 16.645 0.010 15.898 008 
54976.67 17.281 0.008 16.253 006 
