55902.18541   12.613 0.010
55902.18672   12.617 0.010
55903.07971   12.555 0.005
55903.21757   12.545 0.006
55904.14571   12.538 0.017
55904.14722   12.539 0.014
55904.14957   12.537 0.014
55905.21044   12.510 0.012
55905.21141   12.508 0.010
55906.21789   12.507 0.013
55906.21975   12.525 0.012
55907.16171   12.528 0.011
55907.16277   12.531 0.009
55915.09653   13.340 0.009
55916.13706   13.528 0.005
55917.12026   13.721 0.008
55918.09969   13.867 0.005
55924.10160   14.662 0.011
55925.06126   14.774 0.008
55926.03732   14.884 0.010
55928.06213   15.035 0.006
55929.06865   14.990 0.006
55930.09036   15.185 0.006
55931.08472   15.254 0.007
55932.08829   15.316 0.010
55933.08786   15.376 0.011
55934.07306   15.397 0.009
55935.06829   15.431 0.007
55937.05101   15.509 0.007
55938.07256   15.557 0.012
55939.05748   15.570 0.011
55940.05546   15.598 0.010
55941.05692   15.627 0.008
55942.04468   15.633 0.010
55943.08623   15.643 0.007
55949.06351   15.769 0.011
55953.13619   15.826 0.009
55955.13140   15.865 0.010
55957.13951   15.910 0.006
55962.08735   15.978 0.006
55963.16269   16.002 0.007
55965.15230   16.034 0.007
55967.13747   16.059 0.006
55969.10098   16.083 0.006
55972.14449   16.099 0.008
55981.11896   16.246 0.008
55985.07668   16.289 0.009
55994.08604   16.492 0.012
55997.04161   16.506 0.009
56001.08333   16.556 0.010
56004.08681   16.593 0.010
56006.07740   16.637 0.010
56008.01514   16.691 0.012
56013.02059   16.770 0.010
56016.02262   16.848 0.010
56019.00397   16.906 0.009
56031.01242   17.162 0.014
