#Bose et al. 2013
# JD 	  	U 	B 	V 	 
# 2456000+  	(mag) 	(mag) 	(mag) 	 
2456006.32  12.671  0.042 	13.504  0.021 	13.574  0.017  
2456007.30 12.582  0.042 	13.492  0.021 	13.478  0.017 
2456008.31  12.517  0.042 	13.457  0.021 	13.420  0.012  
2456009.26  12.599  0.042 	13.415  0.021 	13.380  0.017  
2456011.34  12.652  0.042 	13.394  0.021 	13.340  0.017  
2456012.28  12.676  0.043 	13.411  0.021 	13.328  0.017  
2456019.13  13.010  0.042 	13.567  0.021 	13.318  0.017  
2456025.13  13.627  0.043 	13.756  0.021 	13.325  0.017  
2456027.24  13.909  0.042 	13.875  0.021 	13.351  0.017  
2456030.21  14.199  0.042 	14.000  0.021 	13.366  0.017  
2456037.15  14.788  0.043 	14.228  0.021 	13.439  0.017  
2456039.11  14.905  0.043 	14.284  0.021 	13.468  0.017  
2456043.25  15.189  0.044 	14.392  0.021 	13.463  0.017 	 
2456047.20  15.377  0.050 	14.466  0.021 	13.487  0.017 	 
2456049.11  15.455  0.057 	14.491  0.025 	13.725  0.024 	 
2456052.13  15.552  0.089 		– 	13.439  0.018 	 
2456054.12  15.725  0.041 	14.574  0.021 	13.471  0.017  
2456057.11  15.802  0.067 	14.688  0.024 	13.494  0.017  
2456061.18  16.049  0.059 	14.697  0.021 	13.539  0.017  
2456062.19 16.133  0.068 	14.711  0.022 	13.566  0.017 	 
2456065.14  16.239  0.049 	14.771  0.021 	13.556  0.017 	 
2456072.13  16.424  0.089 	14.817  0.021 	13.571  0.017 	 
2456075.16  16.577  0.144 	14.882  0.022 	13.596  0.018 	 
2456085.14  16.840  0.061 	14.990  0.021 	13.687  0.017 	 
2456088.12  17.010  0.062 	15.042  0.022 	13.664  0.017 	 
2456090.13  16.886  0.052 	15.057  0.021 	13.670  0.017 	 
2456106.13  16.979  0.219 	15.158  0.018 	13.824  0.017 	 

