# Ganshalingam et al. 2010, ApJS, 190, 418
 54608.31 16.281 0.036 KAIT4  
 54613.32 16.086 0.032 KAIT4  
 54615.26 16.070 0.028 KAIT4  
 54619.24 16.278 0.016 KAIT4  
 54621.27 16.359 0.033 KAIT4  
 54623.22 16.562 0.024 KAIT4  
 54625.20 16.683 0.032 KAIT4  
 54627.20 16.828 0.034 KAIT4  
 54632.23 17.109 0.051 KAIT4  
 54634.25 17.290 0.047 KAIT4  
 54636.21 17.376 0.032 KAIT4  
 54638.26 17.588 0.043 KAIT4  
 54643.22 17.931 0.029 KAIT4  
 54646.22 18.142 0.047 KAIT4  
 54649.22 18.269 0.042 KAIT4  
 54653.22 18.255 0.044 KAIT4
