# Milne et al. 2010
53591.79 12.82 0.02 	 ... 	12.82 0.01 	1m+SITE	
53592.76 12.73 0.01 	 ... 	12.75 0.01 	1m+SITE	
53594.75 12.54 0.01 	 ... 	12.63 0.01 	1m+SITE	
53595.75 12.47 0.01 	 ... 	12.59 0.01 	1m+SITE	
53597.79 12.42 0.02 	12.41 0.02 	12.72 0.02 	2.3m+Im	
53598.70 12.39 0.01 	12.36 0.01 	12.73 0.01 	2.3m+Im	
53608.76 12.70 0.02 	12.75 0.02 	13.30 0.02 	2.3m+Im	
53614.63 13.02 0.01 	13.05 0.01 	13.24 0.01 	1m+WFI	
53617.68 13.20 0.01 	13.11 0.01 	13.20 0.01 	1m+WFI	
53618.66 13.25 0.01 	13.12 0.01 	13.17 0.01 	1m+WFI	
53627.62 13.71 0.01 	13.34 0.00 	13.09 0.01 	1m+WFI	
53631.78 13.96 0.01 	13.59 0.01 	13.26 0.01 	1m+WFI	
53633.76 14.06 0.05 	 ... 	 ... 	1m+SITE	
53635.25 14.19 0.02 	13.88 0.01 	13.59 0.03 	1m+SITE	
53655.72 14.86 0.01 	14.62 0.01 	14.58 0.01 	2.3m+Im	
53686.68 15.60 0.04 	15.56 0.03 	15.78 0.02 	2.3m+Im	
53687.51 15.59 0.03 	15.54 0.03 	15.75 0.01 	2.3m+Im	
