#Stritzinger, M., et al. 2009, ApJ, 696, 713
54150.53 17.658 0.024 16.994 024 
54153.51 16.724 0.015 16.386 015 
54154.51 16.481 0.015 16.205 015 
54155.52 16.282 0.015 16.054 015 
54156.51 16.210 0.064 
54158.52 15.864 0.015 15.687 015 
54159.52 15.775 0.015 15.596 015 
54160.51 15.717 0.015 15.526 015 
54161.50 15.692 0.015 15.469 015 
54163.51 15.644 0.015 15.372 015 
54165.50 15.707 0.015 15.332 015 
54166.52 15.789 0.015 15.349 015 
54169.50 16.188 0.015 15.519 015 
54170.50 16.349 0.015 15.620 015 
54171.51 16.520 0.015 15.719 015 
54174.50 16.979 0.015 16.014 015 
54179.49 17.492 0.015 16.354 015 
54185.50 17.816 0.015 16.623 015 
54190.49 17.915 0.021 16.726 015 
54194.48 17.956 0.026 16.845 015 
54197.48 18.063 0.015 
 
