54046.67 16.058 0.011 15.559 0.011
54048.80 15.577 0.006 15.001 0.006
54049.77 15.461 0.012 14.833 0.014
54052.74 15.517 0.012 14.624 0.010
54056.73 16.223 0.009 14.928 0.006
54060.76 16.840 0.025 15.429 0.024
54065.75 17.222 0.027 15.917 0.022
54066.81 17.268 0.029 15.998 0.015
54068.75 17.398 0.027 16.116 0.021
54071.66 17.527 0.025 16.311 0.019
54073.71 17.598 0.019 16.435 0.013
54076.71 17.715 0.022 16.587 0.016
54080.76 17.829 0.022 16.793 0.014
54084.66 17.957 0.043 16.958 0.021
54087.62 18.050 0.044 17.059 0.044
54092.66 18.211 0.061 17.276 0.043
54096.65 18.317 0.039 17.453 0.029
54099.61 18.411 0.024 17.591 0.016
54100.63 18.436 0.040 17.593 0.033
54104.71 18.452 0.033 17.716 0.020
54106.64 18.581 0.030 17.804 0.022
54108.64 18.640 0.065 17.886 0.051
54110.59 18.715 0.080 18.035 0.063
54118.67 18.816 0.039 18.280 0.032
54123.62 19.089 0.048 18.481 0.058
54127.68 19.204 0.045 18.705 0.057
54130.56 19.485 0.178 18.852 0.060
54133.59 19.373 0.067 18.913 0.068
54143.55 19.663 0.102 19.221 0.131
54147.56 19.915 0.084 19.424 0.087
