56681.63	10.52	0.03
56685.7	10.24	0.03
56686.63	10.16	0.02
56687.67	10.14	0.02
56688.63	10.11	0.03
56690.68	10.05	0.01
56691.7	10.06	0.02
56692.67	10.08	0.01
56693.67	10.08	0.02
56693.99	10.11	0.02
56694.68	10.12	0.02
56695.66	10.17	0.02
56699.67	10.42	0.02
56700.7	10.52	0.02
56701.8	10.6	0.01
56701.95	10.57	0.02
56706.67	10.81	0.01
56707.72	10.77	0.04
56707.73	10.81	0.02
56710.85	10.81	0.02
56711.68	10.81	0.02
56711.75	10.76	0.02
56713.72	10.84	0.02
56713.9	10.8	0.02
56714.68	10.85	0.02
56714.92	10.81	0.01
56715.81	10.9	0.01
56715.91	10.85	0.03
56716.73	10.94	0.02
56717.92	10.86	0.02
56719.68	10.94	0.01
