#Tomasella et al. 2013
#MJD 	B 
55936.25 	14.12  0.02  
55937.00 	13.92  0.02  
55937.25 	14.09  0.03  
55938.03 	13.94  0.02  
55938.22 	14.14  0.07  
55938.97 	13.93  0.04  
55939.25 	14.06  0.03  
55940.03 	13.86  0.02  
55940.26 	13.94  0.03  
55940.92 	13.92  0.02  
55941.97 	13.96  0.03  
55944.05 	13.98  0.04  
55947.22 	14.20  0.02  
55947.93 	14.26  0.02  
55949.96 	14.39  0.02  
55950.93 	14.33  0.01  
55951.21 	14.48  0.26  
55951.93 	14.37  0.03  
55953.05 	14.61  0.05  
55953.88 	14.65  0.09  
55955.94 	14.75  0.04  
55956.93 	14.81  0.02 
55965.93 	15.02  0.04  
55966.19 	15.11  0.04  
55968.08 	15.20  0.05  
55971.18 	15.19  0.03  
55974.17 	15.34  0.04  
55974.97 	15.35  0.02  
55975.97 	15.50  0.02
55980.04 	15.53  0.03  
55981.20 	15.46  0.03  
55983.01 	15.50  0.02  
55984.14 	15.53  0.05  
55985.96 	15.62  0.03  
55986.14 	15.47  0.14
55990.12 	15.65  0.03  
55992.13 	15.57  0.17
55998.07 	15.91  0.02  
55998.11 	15.73  0.05  
55999.16 	15.72  0.02  
55999.80 	15.70  0.03  
56000.10 	15.78  0.03  
56000.85 	15.65  0.02  
56001.79 	15.87  0.02  
56002.05 	15.64  0.21  
56002.82 	15.65  0.02 
56003.96	15.81  0.03  
56005.12 	15.83  0.04  
56006.88 	15.73  0.05  
56008.11 	15.92  0.03  
56008.83 	15.87  0.03  
56010.07 	15.93  0.04  
