#Bose et al. 2013
ut date 	JD 	Phasea 	U 	B 	V 	 
(yy/mm/dd) 	245 6000+ 	(d) 	(mag) 	(mag) 	(mag) 	 
245 6006.32 	4 	12.671 ± 0.042 	13.504 ± 0.021 	13.574 ± 0.017  
245 6007.30 	5 	12.582 ± 0.042 	13.492 ± 0.021 	13.478 ± 0.017 
245 6008.31 	6 	12.517 ± 0.042 	13.457 ± 0.021 	13.420 ± 0.012  
245 6009.26 	7 	12.599 ± 0.042 	13.415 ± 0.021 	13.380 ± 0.017  
245 6011.34 	9 	12.652 ± 0.042 	13.394 ± 0.021 	13.340 ± 0.017  
245 6012.28 	10 	12.676 ± 0.043 	13.411 ± 0.021 	13.328 ± 0.017  
245 6019.13 	17 	13.010 ± 0.042 	13.567 ± 0.021 	13.318 ± 0.017  
245 6025.13 	23 	13.627 ± 0.043 	13.756 ± 0.021 	13.325 ± 0.017  
245 6027.24 	25 	13.909 ± 0.042 	13.875 ± 0.021 	13.351 ± 0.017  
245 6030.21 	28 	14.199 ± 0.042 	14.000 ± 0.021 	13.366 ± 0.017  
245 6037.15 	35 	14.788 ± 0.043 	14.228 ± 0.021 	13.439 ± 0.017  
245 6039.11 	37 	14.905 ± 0.043 	14.284 ± 0.021 	13.468 ± 0.017  
245 6040.32 	38 		– 		– 	13.493 ± 0.017 	 
245 6043.25 	41 	15.189 ± 0.044 	14.392 ± 0.021 	13.463 ± 0.017 	 
245 6047.20 	45 	15.377 ± 0.050 	14.466 ± 0.021 	13.487 ± 0.017 	 
245 6049.11 	47 	15.455 ± 0.057 	14.491 ± 0.025 	13.725 ± 0.024 	 
245 6052.13 	50 	15.552 ± 0.089 		– 	13.439 ± 0.018 	 
245 6054.12 	52 	15.725 ± 0.041 	14.574 ± 0.021 	13.471 ± 0.017  
245 6056.11 	54 		– 		– 	13.526 ± 0.018 	 
245 6057.11 	55 	15.802 ± 0.067 	14.688 ± 0.024 	13.494 ± 0.017  
245 6059.15 	57 		– 	14.518 ± 0.022 	13.534 ± 0.017 	 
245 6061.18 	59 	16.049 ± 0.059 	14.697 ± 0.021 	13.539 ± 0.017  
2456062.19 	60 	16.133 ± 0.068 	14.711 ± 0.022 	13.566 ± 0.017 	 
2456065.14 	63 	16.239 ± 0.049 	14.771 ± 0.021 	13.556 ± 0.017 	 
2456072.13 	70 	16.424 ± 0.089 	14.817 ± 0.021 	13.571 ± 0.017 	 
2456075.16 	73 	16.577 ± 0.144 	14.882 ± 0.022 	13.596 ± 0.018 	 
2456075.15 	73 		– 	14.611 ± 0.023 	13.596 ± 0.012  
2456076.13 	74 		– 	14.609 ± 0.025 	13.637 ± 0.018 	 
2456078.15 	76 		– 	14.872 ± 0.031 	13.627 ± 0.018  
2456085.14 	83 	16.840 ± 0.061 	14.990 ± 0.021 	13.687 ± 0.017 	 
2456088.12 	86 	17.010 ± 0.062 	15.042 ± 0.022 	13.664 ± 0.017 	 
2456090.13 	88 	16.886 ± 0.052 	15.057 ± 0.021 	13.670 ± 0.017 	 
2456095.16 	93 		– 	14.694 ± 0.029 	13.727 ± 0.018 	 
2456104.15 	102 		– 	15.231 ± 0.029 	13.873 ± 0.022 	 
2456106.13 	104 	16.979 ± 0.219 	15.158 ± 0.018 	13.824 ± 0.017 	 

