
#Bose et al. 2013
# JD 	  B 	V 	 
# 2456000+   	(mag) 	(mag) 	 
      56005.8      13.5040    0.0210000
      56006.8      13.4920    0.0210000
      56007.8      13.4570    0.0210000
      56008.8      13.4150    0.0210000
      56010.8      13.3940    0.0210000
      56011.8      13.4110    0.0210000
      56018.8      13.5670    0.0210000
      56024.8      13.7560    0.0210000
      56026.8      13.8750    0.0210000
      56029.8      14.0000    0.0210000
      56036.8      14.2280    0.0210000
      56038.5      14.2840    0.0210000
      56042.8      14.3920    0.0210000
      56046.8      14.4660    0.0210000
      56048.5      14.4910    0.0250000
      56053.5      14.5740    0.0210000
      56056.5      14.6880    0.0240000
      56058.8      14.5180    0.0220000
      56060.8      14.6970    0.0210000
      56061.8      14.7110    0.0220000
      56064.8      14.7710    0.0210000
      56071.8      14.8170    0.0210000
      56074.8      14.8820    0.0220000
      56074.8      14.6110    0.0230000
      56075.8      14.6090    0.0250000
      56077.8      14.8720    0.0310000
      56084.8      14.9900    0.0210000
      56087.5      15.0420    0.0220000
      56089.8      15.0570    0.0210000
      56094.8      14.6940    0.0290000
      56103.8      15.2310    0.0290000
      56105.8      15.1580    0.0180000
