#Ganshalingam et al. 2010, ApJS, 190, 418
54477.27 16.409 0.010 NICKEL 
54478.24 16.223 0.010 NICKEL 
54479.15 16.188 0.014 KAIT4  
54481.13 16.066 0.028 KAIT4  
54483.19 16.098 0.022 KAIT4  
54484.19 16.129 0.012 KAIT4  
54485.10 16.134 0.015 KAIT4  
54501.17 17.183 0.044 KAIT4  
54503.11 17.275 0.022 KAIT4  
54505.17 17.326 0.033 KAIT4  
54505.19 17.430 0.033 NICKEL 
54508.11 17.549 0.045 KAIT4  
54509.16 17.608 0.010 NICKEL 
54511.12 17.572 0.058 KAIT4  
54512.16 17.726 0.016 NICKEL 
54514.12 17.691 0.059 KAIT4  
54522.15 18.070 0.091 KAIT4  
54530.16 18.180 0.036 NICKEL 
54653.46 20.150 0.105 NICKEL 
54655.46 20.376 0.115 NICKEL 
54658.46 20.321 0.114 NICKEL 
54672.44 20.337 0.172 NICKEL 
54677.44 20.381 0.158 NICKEL 
54686.45 20.499 0.172 NICKEL
#Hicken M., Challis P., Kirshner R.P., 2012, ApJSS, 200, 12; Natural System Photometry   
 54470.08749 17.0645 0.0177 one 
 54476.11817 16.3185 0.0171 one 
 54477.19683 16.2225 0.0327 one 
 54480.07264 16.1350 0.0267 one 
 54491.16654 16.4950 0.0267 one 
 54510.09784 17.7225 0.0702 one 
 54514.12544 17.8610 0.0478 one 
 54517.11462 17.9465 0.0315 one 
 54520.11361 18.0600 0.0365 one 
 54526.10567 18.1745 0.0389 one 
