#Stritzinger et al. 2011, AJ, 142, 156
54411.78 14.192 0.007 14.167 0.007 
54413.81 13.670 0.004 13.652 0.005 
54417.71 13.158 0.008 13.118 0.008 
54418.74 13.151 0.008 13.092 0.008 
54421.72 13.104 0.006 12.960 0.008 
54422.72 13.157 0.008 12.964 0.007 
54422.72 13.169 0.007 12.962 0.008 
54423.70 13.263 0.006 13.041 0.008 
54425.72 13.470 0.007 13.082 0.007 
54426.66 13.606 0.008 13.153 0.008  
54427.68 13.768 0.008 13.230 0.008 
54428.72 13.957 0.007 13.328 0.007 
54429.68 14.119 0.008 13.421 0.008 
54430.67 14.285 0.008 13.502 0.008 
54435.66 15.001 0.008 13.951 0.008 
54440.69 15.480 0.008 14.445 0.008 
54443.72 15.689 0.008 14.684 0.006 
54445.72 15.780 0.008 14.806 0.007 
54447.65 15.871 0.008 14.910 0.008 
54449.69 15.949 0.008 14.996 0.010 
54453.64 16.074 0.010 15.151 0.008 
54455.61 16.124 0.008 15.226 0.008 
54456.67 16.163 0.010 15.255 0.008 
54457.62 16.183 0.010 15.284 0.008 
54458.68 16.213 0.010 15.325 0.008 
54462.72 16.313 0.008 15.462 0.008 
54467.63 16.430 0.010 15.611 0.008 
54468.63 16.464 0.010 15.652 0.012 
54470.59 16.471 0.012 15.695 0.010 
54472.61 16.543 0.012 15.771 0.012 
54475.61 16.591 0.012 15.849 0.008 
54476.64 16.615 0.012 15.891 0.010 
54484.59 16.745 0.014 16.103 0.010 
54488.57 16.855 0.014 16.232 0.010 
54490.57 16.875 0.010 16.292 0.010 
54494.61 16.940 0.010 16.392 0.008 
54497.61 16.994 0.014 16.488 0.010 
54499.60 17.034 0.016 16.565 0.020 
4508.60 17.211 0.014 16.797 0.012 
