# Munari et al. 2013
# MJD 	B	 median error of 0.011 used
56071.8727	13.035 0.011
56072.9303	12.849 0.011 
56073.8370	12.761  0.011
56075.8644	12.485  0.011
56077.8677	12.298  0.011
56079.8689	12.223  0.011
56083.8318	12.184  0.011
56083.8666	12.219  0.011
56085.8389	12.234  0.011
56087.8801	12.347  0.011
56089.8679	12.492  0.011
56092.8861	12.787  0.011
56093.8868	12.860  0.011
56093.3045	12.826  0.011
56094.8845	12.921  0.011
56095.8720	13.046  0.011
56096.8697	13.127  0.011
56097.8503	13.261  0.011
56099.8713	13.467  0.011
56100.8818	13.583  0.011
56104.8752	13.939  0.011
56112.8878	14.577  0.011
56115.8744	14.637  0.011
