# Richmond & Vietje 2017 https://ui.adsabs.harvard.edu/abs/2017JAVSO..45...65R/abstract
57539.14	14.11 	0.04
57540.11	13.82 	0.042
57541.11	13.66 	0.067
57549.1	13.23 	0.062
57550.09	13.37 	0.09
57551.08	13.24 	0.077
57552.14	13.37 	0.058
57553.09	13.42 	0.027
57554.09	13.48 	0.049
57557.1	13.88 	0.045
57558.1	14.00 	0.05
57559.11	13.98 	0.096
57561.11	14.27 	0.072
57562.09	14.44 	0.049
57563.1	14.54 	0.088
57566.09	15.17 	0.222
57567.09	15.13 	0.091
57569.1	15.40 	0.115
57570.1	15.37 	0.069
57572.1	15.68 	0.119
57573.1	15.72 	0.078
57575.1	15.94 	0.079
57580.1	16.03 	0.117
57581.1	15.84 	0.189
57583.1	16.27 	0.107
57586.1	16.19 	0.117
57588.1	16.00 	0.113
57589.1	16.20 	0.102
