56499.833	13.077	0.014
56516.896	13.16	0.015
56500.833	12.986	0.017
56517.795	13.196	0.015
56500.875	13.015	0.017
56501.833	12.874	0.014
56518.788	13.133	0.024
56519.786	13.214	0.016
56505.858	12.775	0.013
56520.782	13.355	0.018
56506.901	12.703	0.021
56521.938	13.395	0.02
56507.871	12.739	0.014
56508.853	12.779	0.014
56523.844	13.555	0.018
56509.849	12.782	0.02
56524.805	13.59	0.022
56524.819	13.58	0.015
56512.867	12.92	0.015
56525.821	13.666	0.015
56512.897	12.932	0.015
56513.671	12.914	0.016
56528.8	13.829	0.016
56514.671	13.011	0.015
56515.791	13.089	0.014
56532.933	14.005	0.022
