#Ganshalingam et al. 2010, ApJS, 190, 418
54477.27 16.395 0.010 NICKEL 
54478.24 16.411 0.010 NICKEL 
54479.15 16.415 0.012 KAIT4  
54481.13 16.533 0.035 KAIT4  
54483.19 16.652 0.024 KAIT4  
54484.19 16.744 0.020 KAIT4  
54485.10 16.823 0.018 KAIT4  
54501.17 18.686 0.078 KAIT4  
54503.11 18.822 0.058 KAIT4  
54505.17 18.679 0.074 KAIT4  
54505.19 18.993 0.030 NICKEL 
54508.11 19.173 0.165 KAIT4  
54509.16 19.096 0.034 NICKEL 
54511.12 19.172 0.106 KAIT4  
54512.16 19.226 0.041 NICKEL 
54514.12 19.193 0.186 KAIT4  
54530.16 19.502 0.067 NICKEL 
54653.46 20.951 0.195 NICKEL 
54655.46 21.131 0.165 NICKEL 
54658.46 21.174 0.099 NICKEL 
54672.44 21.169 0.252 NICKEL 
54677.44 20.947 0.138 NICKEL 
54686.45 21.067 0.186 NICKEL 
#Hicken M., Challis P., Kirshner R.P., 2012, ApJSS, 200, 12; Natural System Photometry   
 54470.09236 17.0975 0.0421 one 
 54476.12210 16.3955 0.0607 one 
 54477.20352 16.3870 0.0465 one 
 54480.07749 16.4100 0.0298 one 
 54510.10330 18.7470 0.1847 one 
 54514.13214 18.9610 0.1854 one 
 54517.11858 19.2385 0.2897 one 
 54520.11873 19.2620 0.3018 one 
 54526.11052 19.3205 0.1022 one 

