# Milne et al. 2010
53591.79 12.68 0.04 	12.82 0.02 	 ... 	12.82 0.01 	1m+SITE	
53592.76 12.65 0.02 	12.73 0.01 	 ... 	12.75 0.01 	1m+SITE	
53594.75 12.45 0.02 	12.54 0.01 	 ... 	12.63 0.01 	1m+SITE	
53595.75 12.39 0.01 	12.47 0.01 	 ... 	12.59 0.01 	1m+SITE	
53597.79 12.33 0.03 	12.42 0.02 	12.41 0.02 	12.72 0.02 	2.3m+Im	
53598.70 12.32 0.02 	12.39 0.01 	12.36 0.01 	12.73 0.01 	2.3m+Im	
53605.79 12.60 0.04 	 ... 	12.53 0.01 	12.93 0.01 	1m+WFI	
53608.76 12.89 0.02 	12.70 0.02 	12.75 0.02 	13.30 0.02 	2.3m+Im	
53613.72 13.46 0.01 	 ... 	 ... 	13.27 0.01 	1m+WFI	
53614.63 13.52 0.02 	13.02 0.01 	13.05 0.01 	13.24 0.01 	1m+WFI	
53617.68 13.88 0.02 	13.20 0.01 	13.11 0.01 	13.20 0.01 	1m+WFI	
53618.66 14.00 0.05 	13.25 0.01 	13.12 0.01 	13.17 0.01 	1m+WFI	
53627.62 14.79 0.01 	13.71 0.01 	13.34 0.00 	13.09 0.01 	1m+WFI	
53631.78 15.04 0.03 	13.96 0.01 	13.59 0.01 	13.26 0.01 	1m+WFI	
53633.76 15.11 0.04 	14.06 0.05 	 ... 	 ... 	1m+SITE	
53635.25 15.22 0.05 	14.19 0.02 	13.88 0.01 	13.59 0.03 	1m+SITE	
53655.72 15.72 0.04 	14.86 0.01 	14.62 0.01 	14.58 0.01 	2.3m+Im	
53686.68 16.14 0.03 	15.60 0.04 	15.56 0.03 	15.78 0.02 	2.3m+Im	
53687.51 16.14 0.05 	15.59 0.03 	15.54 0.03 	15.75 0.01 	2.3m+Im	
