RA, DEC, AV 
19h37m59s,-15d56m29s,0.402
15h07m35s,-32d38m59s,0.568
23h01m39s,4d08m07s,0.166
2h39m25s,62d07m58s,1.737
5h13m16s,-76d36m44s,0.309
6h05m23s,44d27m50s,0.395
13h10m06s,51d37m53s,0.025
20h26m01s,-63d09m30s,0.195
5h50m09s,-34d12m23s,0.112
7h03m36s,51d46m45s,0.177
