N1365,1636,1,1566,12,840.00,596.40
N3982,1113,4,1594,22,144.00,132.48
ic2574,57,2,238,9,900.00,540.00
ngc1097,1271,3,1203,9,812.83,495.83
ngc1482,1916,39,1853,40,288.40,173.04
