Name, Ra, Dec, Heliocentric Velocity (km/s), Uncertainty (km/s), VGS Velocity (km/s), Uncertainty (km/s), Apparent Major Axis (arcmin), Apparent Minor Axis (arcmin)
IC438,5h53m00.0799s,-17d52m33.8988s,3124,6,3141,17,3.907,2.891
NGC1672,4h45m42.4999s,-59d14m49.8516s,1331,3,1218,16,9.000,8.010
