IC438
Arcminute,North,East,South,West
0.0,0.196,0.196,0.196,0.196
,,,,
NGC1672
Arcminute,North,East,South,West
0.0,0.062,0.062,0.062,0.062
,,,,
NGC7187
Arcminute,North,East,South,West
0.0,0.092,0.092,0.092,0.092
,,,,
NGC2217
Arcminute,North,East,South,West
0.0,0.115,0.115,0.115,0.115
,,,,
UGC2358
Arcminute,North,East,South,West
0.0,1.271,1.271,1.271,1.271
,,,,
ESO384-18
Arcminute,North,East,South,West
0.0,0.205,0.205,0.205,0.205
,,,,
NGC474
Arcminute,North,East,South,West
0.0,0.093,0.093,0.093,0.093
,,,,
