LMC 05h23m34.6s -69d45m22s  323  0.20 0.05 SFD_98
SMC 00h52m38.0s -72d48m01s 190 0.10 0.05 SFD_98
M31 00h42m44.5s +41d16m09s 95 0.17 0.05 SFD_98
M82 9h55m52.43s 69d40m46.93s 20 0.16 0.05 Dalcanton_etal_2009
Arp244 12h01m53.17s -18d52m37.92s 15 0.11 0.01 Brown_walker_2020
ESO138-G10 16h59m02.952s -60d12m57.67s 12 0.55 0.05 Brown_walker_2020
ESO287-G40 21h37m28.1842s -47d02m08.8331s 7 0.065 0.01 Brown_walker_2020
ESO317-32 10h28m01.6186s -42d06m38.7541s 12 0.33 0.03 Brown_walker_2020
ESO509-IG064 13h34m39.3s -23d40m50s 15 0.3 0.02 Brown_walker_2020
IC208 2h08m27.736s 6d23m41.53s 12 0.13 0.01 Brown_walker_2020
IC2574 10h28m23.6205s 68d24m43.4414s 15 0.08 0.01 Brown_walker_2020
IC5249 22h47m06.262s -64d49m55.42s 15 0.08 0.01 Brown_walker_2020
KUG0647+311 6h50m36.832s 31d07m00.6s 15 0.31 0.03 Brown_walker_2020
M51 13h29m52.698s 47d11m42.93s 15 0.05 0.01 Brown_walker_2020
M61 12h21m54.9275s 4d28m25.5883s 15 0.05 0.01 Brown_walker_2020
M66 11h20m15.026s 12d59m28.64s 15 0.07 0.01 Brown_walker_2020
M74 1h36m41.772s 15d47m00.46s 15 0.16 0.02 Brown_walker_2020
M83 13h37m00.919s -29d51m56.74s 15 0.12 0.01 Brown_walker_2020
MCG-01-07-004 2h23m13.2516s -4d31m01.5168s 7 0.07 0.05 Brown_walker_2020
MCG-02-24-027 9h28m59.256s -14d48m27.25s 7 0.17 0.01 Brown_walker_2020
MCG-02-30-003 11h33m10.5799s -10d13m43.7361s 10 0.09 0.01 Brown_walker_2020
MCG+10-19-1 12h54m49.706s 58d52m56.46s 7 0.025 0.005 Brown_walker_2020
NGC0584 1h31m20.755s -6d52m05.02s 15 0.1 0.01 Brown_walker_2020
NGC1097 2h46m19.059s -30d16m29.68s 15 0.05 0.01 Brown_walker_2020
NGC1313 3h18m16.046s -66d29m53.74s 20 0.1 0.05 Brown_walker_2020
NGC134 0h30m21.893s -33d14m43.26s 20 0.03 0.01 Brown_walker_2020
NGC1365 3h33m36.458s -36d08m26.37s 20 0.03 0.01 Brown_walker_2020
NGC1371 3h35m01.351s -24d55m59.19s 10 0.05 0.01 Brown_walker_2020
NGC1448 3h44m31.915s -44d38m41.38s 10 0.025 0.01 Brown_walker_2020
NGC2315 7h02m33.038s 50d35m26.18s 7 0.2 0.02 Brown_walker_2020
NGC2357 7h17m40.981s 23d21m24.28s 10 0.15 0.02 Brown_walker_2020
NGC2442 7h36m23.84s -69d31m51.0s 7 0.55 0.05 Brown_walker_2020
NGC253 00h47m33.120s -25d17m17.59s 200.045 0.005 Brown_walker_2020
NGC2577 8h22m43.45s 22d33m11.1408s 10 0.12 0.01 Brown_walker_2020
NGC2615 8h34m33.358s -2d32m48.57s 10 0.075 0.005 Brown_walker_2020
NGC2668 8h49m22.57s 36d42m37.53s 10 0.085 0.005 Brown_walker_2020
NGC2748 9h13m43.037s 76d28m31.23s 5 0.06 0.01 Brown_walker_2020
NGC2811 9h16m11.1s -16d18m45.78s 12 0.12 0.01 Brown_walker_2020
NGC3034 9h55m52.43s 69d40m46.93s 15 0.2 0.05 Brown_walker_2020
NGC3521 11h05m48.5676s -0d02m09.2282s 15 0.11 0.02 Brown_walker_2020
NGC3556 11h11m30.967s 55d40m26.84s 20 0.025 0.005 Brown_walker_2020
NGC3627 11h20m15.026s 12d59m28.64s 15 0.07 0.01 Brown_walker_2020
NGC3690 11h28m31.326s 58d33m41.8s 10 0.035 0.01 Brown_walker_2020
