SNname,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Redshift,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm_ref,UVM2_DatPoints,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end,Hubble_dm,Hubble_dm_err
ASASSN-13ch,CGCG 023-030,,Ia,0.01646,,5,32927,'16:16:34.06,-00:35:27.4,0.326,0.0326,S_F_2011,16h16m33.8258s,-0d35m19.842s,12.261497,33.502169,0.016433,BlueCG?        HII,4926,3,5566,33,,,done,2,all,,,,,,,34.144668214884206,0.402223019,HF,,,0,,,ref,,,ref,,,,end,34.144668214884206,0.3979628807229875
ASASSN-13cj,CGCG 051-075,,Ia,0.018,Brutus6532_2,1,32925,'16:17:11.01,+04:33:14.7,0.196,0.0196,S_F_2011,16h17m11.0422s,4d33m14.7492s,17.669096,36.104256,,,,,,,,,,,,,,,,,,,,,,,,,,ref,,,ref,,,,end,,
ASASSN-13co,CGCG 402-014,,II,0.023063,,14,,'21:40:38.740,+06:30:36.87,0.16,0.016,S_F_2011,21h40m38.9501s,6d30m35.2008s,61.84224,-32.918556,0.023063,,6914,157,70014,17,,,late,3,all,,,,,,,34.880843053400724,0.392903433,HF,,,3,,,ref,,,ref,,,,end,34.880843053400724,0.3885411241860434
ASASSN-13dd,NGC 2765,PSNJ09073675+0323397,Ia,0.01255,iPTF13drr,6,31307,'09:07:36.75,+03:23:39.7,0.087,0.0087,S_F_2011,9h07m36.6442s,3d23m34.5156s,226.665164,31.624165,0.012549,S0,3762,20,4071,34,,,done,3,all,2008hv,,,,,,33.559290133440584,0.438095913,HF,,,3,,,ref,,,ref,,,,end,33.559290133440584,0.43418789221581805
ASASSN-13dn,SDSS J125258.03+322444.3,,II,0.023,,4,,'12:52:58.20,+32:25:09.3,0.042,0.0042,S_F_2011,12h52m58.033s,32d24m44.28s,119.432078,84.705611,0.022805,,6837,55,7391,60,,,done,2,all,,,,,,,34.85652407686898,0.378911555,HF,,,,,,ref,,,ref,,,,end,34.85652407686898,0.3743862488301651
ASASSN-14ad,KUG 1237+183,,Ia,0.026425,,5,,'12:40:11.10,+18:03:32.8,0.049,0.0049,S_F_2011,12h40m11.388s,18d03m42.11s,286.392189,80.570184,0.026425,Spiral,7922,,8514,32,,,done,5,all,,,,,,,35.176370367710156,,HF,,,1,,,ref,,,ref,,,,end,35.176370367710156,
ASASSN-14ar,IC 527,,Ia,0.02298,,3,,'09:09:41.70,+37:36:06.5,0.055,0.0055,S_F_2011,9h09m41.752s,37d36m06.05s,185.539025,42.708028,0.022979,S?,6889,11,7156,17,,,done,3,all,,,,,,,34.87297710112953,0.376428124,HF,,,1,,,ref,,,ref,,,,end,34.87297710112953,0.37187259830897634
ASASSN-14bu,SDSS J111840.97+250958.5,,IIP,0.0254,,4,,'11:18:41.030,+25:09:59.88,0.043,0.0043,S_F_2011,11h18m40.973s,25d09m58.59s,213.075316,69.12175,0.025458,,7632,,8114,26,,,GI12,3,all,,,,,,,35.09538798584898,,HF,,,,,,ref,,,ref,,,,end,35.09538798584898,
ASASSN-14dc,PGC 2035709,,IIn/Ia-CSM,0.044,,12,,'02:18:37.82,+33:37:01.7,0.192,0.0192,S_F_2011,2h18m38.2s,33d36m56s,,,,,1320,50,1320,50,,,done,4,,Ochner et al. 2014 ATEL6660/Chen et al. 2014 ATEL6284,,,,,,31.285065833398036,0.854607725,HF,,,13,,,ref,,,ref,,,,end,31.285065833398036,0.8526109672589001
ASASSN-14dd,NGC 2466,,Ibn,0.017722,,14,33280,'07:45:14.380,-71:24:14.04,0.443,0.0443,S_F_2011,7h45m15.963s,-71d24m37.63s,283.470491,-21.479245,0.017722,SA(s)c:,5313,6,5603,41,,,done,3,all,,,,,,,34.308895256917474,0.394994952,HF,,,,,,ref,,,ref,,,,end,34.308895256917474,0.3906559986191548
ASASSN-14eu,MCG -01-38-15,,Ia-pec?,0.022722,,5,,'15:00:36.84,-03:50:48.9,0.413,0.0413,S_F_2011,15h00m38.859s,-3d51m29.46s,353.118943,46.043392,0.022722,,6812,34,7504,53,,,done,6,,,,,,,,34.848569373821604,0.377804503,HF,,,5,,,ref,,,ref,,,,end,34.848569373821604,0.37326577625996615
ASASSN-14fa,ESO 416-G39,,Ia,0.022589,,8,,'02:52:23.06,-31:49:18.0,0.054,0.0054,S_F_2011,2h52m22.3022s,-31d49m02.1567s,230.376711,-63.353057,0.022589,S0?,6772,30,6666,33,,,done,5,,,,,,,,34.835780924553276,0.377967456,HF,,,6,,,ref,,,ref,,,,end,34.835780924553276,0.37343070996539757
ASASSN-14fd,PGC 43070,,IIn,0.015367,,11,,'12:46:14.768,-40:48:52.53,0.294,0.0294,S_F_2011,12h46m14.8s,-40d48m48s,301.872664,22.048125,0.015367,I,4607,19,4347,29,,,,3,all,,,,,,,33.999287238632185,0.410004834,HF,,,,,,ref,,,ref,,,,end,33.999287238632185,0.40582639278976623
ASASSN-14ha,NGC 1566,,II,0.005017,,27,,'04:20:01.41,-54:56:17.0,0.024,0.0024,S_F_2011,4h20m00.402s,-54d56m16.5781s,264.310155,-43.393163,0.005017,(R'_1)SAB(rs)bcSy1,1504,2,1413,15,,,done,,,,,,,,SN2010el,31.5684353586469,0.750127324,HF,,,10,,,ref,,,ref,,,,end,31.5684353586469,0.747851655779641
ASASSN-14il,PGC 3093694,,IIn,0.021989,,30,,'00:45:32.55,-14:15:34.6,0.06,0.006,S_F_2011,0h45m32.609s,-14d15m32.81s,116.542398,-77.057622,0.021989,               HII,6592,45,6462,47,,,done,2,all,,,,,,,34.77728217081408,0.380448262,HF,,,18,,,ref,,,ref,,,,end,34.77728217081408,0.3759414539877124
ASASSN-14jb,,,II,0.006031,,11,,,,,,,,,,,,,1808,3,1912,12,,,done,2,all,,,,,,SN2009ip near,31.96818830806551,0.653107017,HF,,,8,,,ref,,,ref,,,,end,31.96818830806551,0.6504920239241034
ASASSN-14kd,2MASX J22532475+0447583,,Ia-91T,0.026,,9,,'22:53:24.95,+04:47:57.3,0.182,0.0182,S_F_2011,22h53m24.7574s,4d47m58.2563s,76.686987,-47.196618,0.028993,,8692,0,8639,19,,,oldIa,4,all,,,,,,,35.37779476561122,0.365785986,HF,,,0,,,ref,,,ref,,,,end,35.37779476561122,0.36109622643709577
ASASSN-14kr,GALEXASC J125413.02-073849.5,,Ia,0.014,,3,,'12:54:13.150,-07:38:57.46,0.093,0.0093,S_F_2011,12h54m13s,-7d38m49s,304.139478,55.217991,,,,,,,,,needs,3,,,,,,,,,,,,,,,,ref,,,ref,,,,end,,
ASASSN-14lp,NGC 4666,,Ia,0.0051,,27,,'12:45:09.10,-00:27:32.4,0.065,0,"Brown_walker_2020,S_F_2011",12h45m08.676s,-0d27m42.88s,299.537333,62.368367,0.005101,SABc:;HII      LINER,1529,5,2005,40,,,done,4,,,,,,,,31.604233604430387,0.740658962,HF,,,13,,,ref,,,ref,,,,end,31.604233604430387,0.7383541126009677
ASASSN-14lw,GALEXASC J010647.95-465904.1,,Ia,0.023,,12,,'01:06:49.170,-46:58:59.96,0.037,0.0037,S_F_2011,1h06m47.95s,-46d59m04.1s,295.286222,-69.915161,,,,,,,,,done,4,UV,,,,,,,,,,,,12,,,ref,,,ref,,,,end,,
ASASSN-14ms,SDSS J130408.52+521846.4,,Ibn,0.054,,2,,'13:04:08.69,+52:18:46.5,0.031,0.0031,S_F_2011,13h04m08.527s,52d18m46.48s,118.385423,64.703134,0.054000,Extended Src [SDSS],16189.0,30.0,16557.0,33.0,,,,2,all,arxiv1711.00862,,,,,,36.728296292693756,,,,,,,,ref,,,ref,,,,end,36.728296292693756,0.34793073134783964
ASASSN-15aj,NGC 3449,,Ia,0.010921,,9,,'10:52:53.260,-32:55:34.86,0.205,0.0205,S_F_2011,10h52m53.65s,-32d55m39.47s,275.98482,23.667932,0.010921,SA(s)ab:,3274,6,3328,26,,,done,3,all,,,,,,,33.2575895527484,0.46253525,HF,,,2,,,ref,,,ref,,,,end,33.2575895527484,0.45883543289067785
ASASSN-15ar,CGCG 439-010,,Ia,0.02882,,7,,'02:28:20.360,+10:23:03.87,0.293,0.0293,S_F_2011,2h28m21.6701s,10d22m55.7004s,158.268338,-45.734887,0.02882,,8640,31,8400,35,,,done,5,all,,,,,,,35.36476488976325,0.366443758,HF,,,0,,,ref,,,ref,,,,end,35.36476488976325,0.36176252537724835
ASASSN-15cq,CGCG 218-007,,Ia,0.027276,,5,33630,'13:23:48.460,+43:17:59.11,0.035,0.0035,S_F_2011,13h23m48.4522s,43d18m04.2768s,102.956189,72.549463,0.027276,Sy2,8177,32,8677,38,,,done,,,,,,,,,35.245166166129316,0.368648916,HF,,,2,,,,,,,,,,end,35.245166166129316,0.3639960445170842
ASASSN-15fi,MRK 884,,II,0.017182,,4,33717,'16:31:48.800,+20:24:38.50,0.153,0.0153,S_F_2011,16h31m48.7606s,20d24m38.7468s,37.82749,39.518945,0.017182,Pec,5151,4,5746,24,,,done,3,5noB,30ed_bright star?,x,,,,,34.241653926771676,0.397828538,HF,,,0,,,,,,,,,,end,34.241653926771676,0.3935208289103621
ASASSN-15fz,NGC 5227,,II,0.017479,,2,,'13:35:25.14,+01:24:33.0,0.066,0.0066,S_F_2011,13h35m24.5507s,1d24m38.0789s,327.061109,62.204547,0.017479,(R')SB(r)b     NLAGN,5240,9,5910,43,,,m2;w1 done,13,,,x,,,,,34.27885261228742,0.396303937,HF,,,,,,,,,,,,,end,34.27885261228742,0.391979473791601
ASASSN-15ga,NGC 4866,,Ia-99by,0.006631,,4,,'12:59:27.292,+14:10:15.79,0.074,0.0074,S_F_2011,12h59m27.14s,14d10m15.78s,311.539062,76.908649,0.006631,SB(rs)bc;HII   Sbrst,1988,5,1019,67,,,done,4,,nearcenterofhost,,,,,,32.17427807767526,0.611349844,HF,,,0,,,,,,,,,,end,32.17427807767526,0.608555443971447
ASASSN-15hf,ESO 375-G41,,Ia,0.006178,,8,33743,'10:29:30.76,-35:15:35.2,0.266,0.0266,S_F_2011,10h29m31.007s,-35d15m35.45s,272.813145,19.180255,0.006178,S0-,1852,37,1764,44,,,done,2,all6,,,,,,,32.020401089098364,0.649688413,HF,,,,,,,,,,,,,end,32.020401089098364,0.6470596044667273
ASASSN-15hx,GALEXASC J134316.80-313318.2,,Ia,0.01?,,15,,'13:43:16.692,-31:33:21.55,0.131,0.0131,S_F_2011,13h43m16.8s,-31d33m20s,315.684954,30.029661,0.008120,"     
Spare 5                    :",2434.0,0.0,2093.0,32.0,,,none,2,all6,,,,,,,32.61379904683902,,,,,,,,,,,,,,,end,32.61379904683902,0.5347420749157199
ASASSN-15hy,Unknown,,Ia-SC,0.025,,20,33762,'20:10:02.350,-00:44:21.31,0.41,0.041,S_F_2011,,,,,,,,,,,,,none,2,all6,,,,,,,,,,,,,,,,,,,,,,end,,
