SNname,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Redshift,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm,Hubble_dm_err,Hubble_dm_ref,UVM2_DatPoints,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end
ASASSN-13ch,CGCG 023-030,,Ia,0.01646,,5,32927,'16:16:34.06,-00:35:27.4,0.326,0.0326,S_F_2011,16h16m33.8258s,-0d35m19.842s,12.261497,33.502169,0.016433,BlueCG?        HII,4926,3,5566,33,,,done,2,all,,,,,,,34.17580956,0.402223019,HF,,34.17580956,0.402223019,,0,,,ref,,,ref,,,,end
ASASSN-13cj,CGCG 051-075,,Ia,0.018,Brutus6532_2,1,32925,'16:17:11.01,+04:33:14.7,0.196,0.0196,S_F_2011,16h17m11.0422s,4d33m14.7492s,17.669096,36.104256,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref,,,ref,,,,end
ASASSN-13co,CGCG 402-014,,II,0.023063,,14,,'21:40:38.740,+06:30:36.87,0.16,0.016,S_F_2011,21h40m38.9501s,6d30m35.2008s,61.84224,-32.918556,0.023063,,6914,157,70014,17,,,late,3,all,,,,,,,34.91198439,0.392903433,HF,,34.91198439,0.392903433,,3,,,ref,,,ref,,,,end
ASASSN-13dd,NGC 2765,PSNJ09073675+0323397,Ia,0.01255,iPTF13drr,6,31307,'09:07:36.75,+03:23:39.7,0.087,0.0087,S_F_2011,9h07m36.6442s,3d23m34.5156s,226.665164,31.624165,0.012549,S0,3762,20,4071,34,,,done,3,all,2008hv,,,,,,33.59043147,0.438095913,HF,,33.59043147,0.438095913,,3,,,ref,,,ref,,,,end
ASASSN-13dn,SDSS J125258.03+322444.3,,II,0.023,,4,,'12:52:58.20,+32:25:09.3,0.042,0.0042,S_F_2011,12h52m58.033s,32d24m44.28s,119.432078,84.705611,0.022805,,6837,55,7391,60,,,done,2,all,,,,,,,34.88766542,0.378911555,HF,,34.88766542,0.378911555,,,,,ref,,,ref,,,,end
ASASSN-14ad,KUG 1237+183,,Ia,0.026425,,5,,'12:40:11.10,+18:03:32.8,0.049,0.0049,S_F_2011,12h40m11.388s,18d03m42.11s,286.392189,80.570184,0.026425,Spiral,7922,,8514,32,,,done,5,all,,,,,,,35.20751171,,HF,,35.20751171,,,1,,,ref,,,ref,,,,end
ASASSN-14ar,IC 527,,Ia,0.02298,,3,,'09:09:41.70,+37:36:06.5,0.055,0.0055,S_F_2011,9h09m41.752s,37d36m06.05s,185.539025,42.708028,0.022979,S?,6889,11,7156,17,,,done,3,all,,,,,,,34.90411844,0.376428124,HF,,34.90411844,0.376428124,,1,,,ref,,,ref,,,,end
ASASSN-14bu,SDSS J111840.97+250958.5,,IIP,0.0254,,4,,'11:18:41.030,+25:09:59.88,0.043,0.0043,S_F_2011,11h18m40.973s,25d09m58.59s,213.075316,69.12175,0.025458,,7632,,8114,26,,,GI12,3,all,,,,,,,35.12652933,,HF,,35.12652933,,,,,,ref,,,ref,,,,end
ASASSN-14dc,PGC 2035709,,IIn/Ia-CSM,0.044,,12,,'02:18:37.82,+33:37:01.7,0.192,0.0192,S_F_2011,2h18m38.2s,33d36m56s,,,,,1320,50,1320,50,,,done,4,,Ochner et al. 2014 ATEL6660/Chen et al. 2014 ATEL6284,,,,,,31.31620717,0.854607725,HF,,31.31620717,0.854607725,,13,,,ref,,,ref,,,,end
ASASSN-14dd,NGC 2466,,Ibn,0.017722,,14,33280,'07:45:14.380,-71:24:14.04,0.443,0.0443,S_F_2011,7h45m15.963s,-71d24m37.63s,283.470491,-21.479245,0.017722,SA(s)c:,5313,6,5603,41,,,done,3,all,,,,,,,34.3400366,0.394994952,HF,,34.3400366,0.394994952,,,,,ref,,,ref,,,,end
