SNname,HostName,PSN,type,redshift,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,UVM2_DatPoints,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm,Hubble_dm_err,Hubble_dm_ref,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end
SN2016gkg,,,IIb,0.0049,,,,['23.56'],['-29.440127777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gfy,,,II,0.008,,,,['111.68195833333'],['85.764166666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gfr,,,Ia,0.014,,,,['274.898'],['23.786'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gkg,,,IIb,0.0049,,,,['23.56025'],['-29.440277777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gkg,,,IIb,0.0049,,,,['23.56'],['-29.440127777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gfr,,,Ia,0.014,,,,['274.89820833333'],['23.785888888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gfy,,,II,0.008,,,,['111.68195833333'],['85.764166666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gdw,,,II,0.065,,,,['336.77133333333'],['23.279333333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016frp,,,Ib-pec,0.027,,,,['5.3855416666667'],['-5.9567222222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ffh,,,Ia,0.018,,,,['227.95616666667'],['46.250888888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016els,,,SLSN-I,0.217,,,,['307.558'],['-10.9505'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ekg,,,Ia,0.017,,,,['330.015'],['-30.185'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ekg,,,Ia,0.017,,,,['330.01495833333'],['-30.185277777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ekt,,,Ia,0.017,,,,['328.366175'],['-34.405819'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
