SNname,HostName,PSN,type,redshift,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,UVM2_DatPoints,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm,Hubble_dm_err,Hubble_dm_ref,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end
SN2018hna,,,II,0.0024,,,,['186.550323'],['58.314116'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gfm,,,SLSN-I,0.1816,,,,['233.944126'],['24.062492'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018ibb,,,SLSN-I,0.16,,,,['69.737213'],['-20.662282'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gfm,,,SLSN-I,0.1816,,,,['233.944125'],['24.062472222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019hgp,,,Icn,0.0641,,,,['234.053641'],['39.733489'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cac,,,IIn,0.0467,,,,['207.682959'],['-2.506948'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019eot,,,SLSN-I,0.3057,,,,['270.124779'],['50.295372'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019fdr,,,SLSN-II,0.2666,,,,['257.278575'],['26.855758'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018ibb,,,SLSN-I,0.16,,,,['69.737213'],['-20.662282'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019hgp,,,Icn,0.0641,,,,['234.053641'],['39.733489'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019hsw,,,II,0.0055,,,,['140.1404083'],['64.0730194'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018cow,,,Ic-BL,0.014,,,,['244.0009'],['22.268'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019dge,,,Ib,0.0213,,,,['264.194758'],['50.547826'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019hsx,,,Ic-BL,0.020652,,,,['273.234247'],['68.362559'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018cuf,,,II,0.0108,,,,['319.048208'],['-64.482575'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019hgp,,,Icn,0.0641,,,,['234.053641'],['39.733489'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019hcc,,,SLSN-I,0.044,,,,['315.08716666667'],['-21.343333333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gfm,,,SLSN-I,0.1816,,,,['233.944126'],['24.062492'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gfm,,,SLSN-I,0.1816,,,,['233.944125'],['24.062472222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gbx,,,Ia,0.013,,,,['192.511685'],['-14.76673'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019hgp,,,Icn,0.0641,,,,['234.053641'],['39.733489'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019hcc,,,SLSN-I,0.044,,,,['315.087208'],['-21.34335'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019hgp,,,Icn,0.0641,,,,['234.053641'],['39.733489'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gaf,,,IIb,0.006,,,,['309.230202'],['2.8068'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gaf,,,IIb,0.006,,,,['309.23016666667'],['2.8067777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gaf,,,IIb,0.006,,,,['309.230202'],['2.8068'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gmh,,,II,0.030666,,,,['247.763185'],['41.153962'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gbx,,,Ia,0.013,,,,['192.511685'],['-14.76673'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019gbx,,,Ia,0.013,,,,['192.511685'],['-14.76673'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cqc,,,SLSN-II,0.1173,,,,['275.42933333333'],['30.992611111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019eot,,,SLSN-I,0.3057,,,,['270.124779'],['50.295372'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019eoh,,,II,0.05007,,,,['195.955637'],['38.289183'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cqc,,,SLSN-II,0.1173,,,,['275.42933333333'],['30.992611111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019enz,,,SLSN-I,0.22,,,,['209.275375'],['27.994083333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019eoh,,,II,0.05007,,,,['195.955637'],['38.289183'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ehk,,,Ib,0.0043,,,,['185.733875'],['15.826'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019dde,,,IIn,0.057,,,,['217.05016'],['-1.604196'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ein,,,Ia,0.00775,,,,['208.37139'],['40.27538818'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019eoh,,,II,0.05007,,,,['195.955637'],['38.289183'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ein,,,Ia,0.00775,,,,['208.371328'],['40.275389'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ejj,,,II,0.003,,,,['121.7865'],['-28.053283333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019esa,,,IIn,0.005891,,,,['118.75370833333'],['-76.411975'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019enr,,,II,0.00818,,,,['143.698792'],['10.286889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019eoh,,,II,0.05007,,,,['195.955637'],['38.289183'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ein,,,Ia,0.00775,,,,['208.3713917'],['40.2753889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ein,,,Ia,0.00775,,,,['208.37139'],['40.27538818'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ehk,,,Ib,0.0043,,,,['185.7339'],['15.826'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ehk,,,Ib,0.0043,,,,['185.733875'],['15.826'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cad,,,Ic,0.02751,,,,['137.179049'],['44.812812'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019edo,,,II,0.008569,,,,['182.964629'],['24.136689'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019edo,,,II,0.008569,,,,['182.964625'],['24.136688888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ebq,,,Ib/c,0.037,,,,['255.326375'],['-7.002888888'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019dzw,,,IIn,0.028,,,,['262.791487'],['-8.450722'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019dzk,,,II,0.024,,,,['258.341454'],['-9.964466'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018lfd,,,SLSN-I,0.27,,,,['348.747154'],['48.757681'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018jfo,,,SLSN-I,0.163,,,,['170.910908'],['25.997764'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018kyt,,,SLSN-I,0.108,,,,['186.98429166667'],['56.393222222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019dde,,,IIn,0.057,,,,['217.05016'],['-1.604196'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019dnz,,,IIn,0.025,,,,['297.131153'],['2.91375'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019daj,,,Ia,0.038,,,,['211.3258773'],['-39.8861162'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019dke,,,II,,,,,['193.40916666667'],['-26.292041666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ctt,,,IIn,0.046,,,,['150.176198'],['12.039836'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018hmx,,,II,0.038,,,,['128.413917'],['55.598056'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019deh,,,Ibn,0.05469,,,,['211.431544'],['9.515708'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019dge,,,Ib,0.0213,,,,['264.194758'],['50.547826'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018ibb,,,SLSN-I,0.16,,,,['69.737213'],['-20.662282'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cac,,,IIn,0.0467,,,,['207.682959'],['-2.506948'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019dgz,,,Ib,0.0364,,,,['184.01922'],['29.851643'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019bkc,,,I,0.02,,,,['150.09391666667'],['-3.0201527777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019byw,,,Ia,0.03034,,,,['256.2857941'],['7.990551'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019byw,,,Ia,0.03034,,,,['256.2857941'],['7.9905695'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cmy,,,II,0.0314,,,,['227.211849'],['40.71375'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cmy,,,II,0.0314,,,,['227.211849'],['40.71375'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019but,,,Ic-BL,0.15,,,,['201.02942'],['8.92657'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cca,,,SLSN-I,0.4103,,,,['180.71211'],['-16.66501'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018zf,,,II,0.01905,,,,['291.831187'],['65.565103'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cca,,,SLSN-I,0.4103,,,,['180.714167'],['-16.663239'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019aajs,,,Ibn,0.0358,,,,['242.764814'],['74.361483'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019avv,,,SLSN-II,0.2207,,,,['236.1731'],['51.149589'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018kyt,,,SLSN-I,0.108,,,,['186.984281'],['56.393234'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019cac,,,IIn,0.0467,,,,['207.682959'],['-2.506948'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019bqe,,,Ia,0.017,,,,['149.916417'],['35.395056'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018ibb,,,SLSN-I,0.16,,,,['69.737213'],['-20.662282'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018hti,,,SLSN-I,0.063,,,,['55.22396'],['11.77703'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018fif,,,II,0.017189,,,,['2.360644'],['47.354093'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018bsz,,,II,0.027,,,,['242.41333'],['-32.06256'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gfr,,,Ia,0.014,,,,['274.898208'],['23.785889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016gsb,,,Ia,0.0097,,,,['91.11725'],['-20.34026'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019bmj,,,II,0.05,,,,['220.291687'],['39.072378'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019aajs,,,Ibn,0.0358,,,,['242.764814'],['74.361483'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019arb,,,Ia,0.013696,,,,['184.8801'],['49.8142'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018lnb,,,SLSN-II,0.222,,,,['159.636458'],['48.27529'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018ibb,,,SLSN-I,0.16,,,,['69.73708333'],['-20.66227778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019ata,,,Ia,0.03,,,,['153.5449683'],['-35.16083833'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019arb,,,Ia,0.013696,,,,['184.8801147'],['49.8141588'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018hna,,,II,0.0024,,,,['186.550208'],['58.314194'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018kag,,,IIn,0.02736,,,,['133.951981'],['3.64153'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019np,,,Ia,0.00452,,,,['157.3415'],['29.510667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018ibb,,,SLSN-I,0.16,,,,['69.73708333'],['-20.66227778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018lnb,,,SLSN-II,0.222,,,,['159.636458'],['48.27529'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019rz,,,IIn,0.018853,,,,['102.607317'],['43.053317'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019yz,,,Ic,0.00639,,,,['235.4887708'],['0.7109481'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018kag,,,IIn,0.02736,,,,['133.951981'],['3.64153'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018ibb,,,SLSN-I,0.16,,,,['69.73708333'],['-20.66227778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019rz,,,IIn,0.018853,,,,['102.607317'],['43.053317'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019qt,,,IIn,0.035,,,,['224.794385'],['43.819899'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019rn,,,IIb,0.013,,,,['34.49833333'],['14.533444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019np,,,Ia,0.00452,,,,['157.3415'],['29.51067'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018hti,,,SLSN-I,0.063,,,,['55.22397318'],['11.777025'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019np,,,Ia,0.00452,,,,['157.3415'],['29.510667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2019kf,,,Ia,0.021,,,,['156.8225'],['26.533083333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018ibb,,,SLSN-I,0.16,,,,['69.737083333333'],['-20.662277777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018hna,,,II,0.0024,,,,['186.550208'],['58.314194'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018jkb,,,II,0.021,,,,['35.290864'],['-4.073244'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018lei,,,Ic,0.006,,,,['38.39334'],['-39.0459'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018kpo,,,II,0.01749,,,,['55.17939'],['-6.42337'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020adow,,,Ic,0.007505,,,,['128.42573'],['27.71204'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acat,,,IIb,0.0079,,,,['177.671704'],['-10.227422'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020adra,,,Ia,0.084025,,,,['151.3117467'],['21.9109166'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020aczg,,,Ia,0.03,,,,['150.2778406'],['54.78954215'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020qlb,,,SLSN-I,0.159,,,,['286.9565416'],['62.963769444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020adcb,,,Ia,0.01512,,,,['338.5270056'],['5.5646088'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020adow,,,Ic,0.007505,,,,['128.4261144'],['27.712107'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020adow,,,Ic,0.007505,,,,['128.42573'],['27.71204'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020abdr,,,II,0.03,,,,['55.697875'],['-12.280111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020jfo,,,II,0.00502,,,,['185.46034'],['4.48169'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acat,,,IIb,0.0079,,,,['177.67170833333'],['-10.2274'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acat,,,IIb,0.0079,,,,['177.671704'],['-10.227422'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acbm,,,II,0.021,,,,['40.074179'],['2.42708'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020faa,,,II,0.04106,,,,['221.78969'],['72.73658'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acma,,,Ia,0.014,,,,['159.491029'],['-28.908529'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020esm,,,IIP,0.036,,,,['211.8260883'],['-5.127117'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020znr,,,SLSN-I,0.1,,,,['109.77678'],['23.88538'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020abjq,,,II,0.018433,,,,['16.5609708'],['3.5739556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020able,,,Ic,0.024755,,,,['141.509407'],['24.52162'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acbm,,,II,0.021,,,,['40.074179'],['2.42708'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acat,,,IIb,0.0079,,,,['177.671704'],['-10.227422'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acct,,,IIn,0.035,,,,['146.2335833'],['31.0960472'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acma,,,Ia,0.014,,,,['159.491029'],['-28.908529'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acat,,,IIb,0.0079,,,,['177.671704'],['-10.227422'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acat,,,IIb,0.0079,,,,['177.671704'],['-10.227422'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020abue,,,II,0.028034,,,,['121.0846254'],['56.302057'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020acbm,,,II,0.021,,,,['40.074179'],['2.42708'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020able,,,Ic,0.024755,,,,['141.509407'],['24.52162'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020tlf,,,IIn,0.008463,,,,['220.0418083'],['42.7776778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020abtf,,,II,0.014,,,,['119.8936792'],['15.3000056'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020qmp,,,II,0.003,,,,['182.185123'],['36.805377'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020aatc,,,Ia,0.01525,,,,['42.0684225'],['-10.2520592'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020abue,,,II,0.028034,,,,['121.0846254'],['56.302057'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020aboh,,,SN,0.007,,,,['139.3823485'],['41.9927816'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020abjq,,,II,0.018433,,,,['16.5609708'],['3.5739556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020abjq,,,II,0.018433,,,,['16.56097'],['3.5739553846'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020abgq,,,Ia,0.008076,,,,['187.2095'],['-1.944056'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020znr,,,SLSN-I,0.1,,,,['109.77677'],['23.88536'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020qlb,,,SLSN-I,0.159,,,,['286.9565416'],['62.963769444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020aatc,,,Ia,0.01525,,,,['42.068434'],['-10.252066'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020aatc,,,Ia,0.01525,,,,['42.0684225'],['-10.2520592'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020jfo,,,II,0.00502,,,,['185.46034'],['4.48169'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020faa,,,II,0.04106,,,,['221.78969'],['72.73658'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020aasd,,,II,0.025,,,,['140.8125667'],['33.5669417'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020zpi,,,Ia,0.03726,,,,['40.08519492'],['-1.44692572'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020yzo,,,II,0.0185,,,,['100.88333333333'],['-72.590416666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020aabz,,,Ia,0.0241,,,,['43.746666666667'],['4.0602416666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020aavm,,,IIP,0.045,,,,['116.6819726'],['18.1135772'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020znl,,,II,0.043,,,,['93.324568'],['-15.892059'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020znr,,,SLSN-I,0.1,,,,['109.77677'],['23.88536'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020wnt,,,I,0.032,,,,['56.658091'],['43.22924'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020zgl,,,Ib-pec,0.0065,,,,['352.00475'],['-2.1648916666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020zbf,,,SLSN-I,0.195,,,,['29.506964'],['-41.347732'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020aabz,,,Ia,0.0241,,,,['43.745971'],['4.060293'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020zoq,,,II,0.01,,,,['159.0897583'],['13.71915'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020tlf,,,IIn,0.008463,,,,['220.0418083'],['42.7776778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020zgl,,,Ib-pec,0.0065,,,,['352.0047732'],['-2.164891525'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020pvb,,,IIn,0.020254,,,,['313.47097'],['-25.4739'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020yzo,,,II,0.0185,,,,['100.88333333333'],['-72.590416666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2020rmv,,,SLSN-I,0.27,,,,['10.000801'],['-14.590296'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
