"Name","IAUname","RA","DEC","Type","Redshift","Spectra_No"
"PTF09a","2009av","215.982747","35.184821","SN Ia","0.0555","1"
"PTF09aa","2009ci","173.336234","-9.41118","SN Ia","0.12","1"
"PTF09ab","2009ck","140.565681","45.747841","SN Ia","0.175","1"
"PTF09ac","2009co","186.147399","47.237755","SN Ia","0.161","1"
"PTF09ad","2009cn","165.777761","50.159969","SN Ia","0.201","1"
"PTF09ads",NULL,"219.964058","13.76535","SN Ia","0.06","1"
"PTF09agm",NULL,"259.140027","43.566566","SN Ia","0.07","1"
"PTF09agy",NULL,"253.031008","43.298055","SN Ia","0.057","1"
"PTF09ahf",NULL,"258.007293","20.502289","SN Ia","0.08","1"
"PTF09aj","2009cj","146.37703","6.540386","SN Ia","0.09","1"
"PTF09akb",NULL,"245.578255","51.146558","SN Ia","0.055","5"
"PTF09akt","2009hl","262.792007","36.427684","SN Ia","0.05","3"
"PTF09alu",NULL,"214.573979","53.792253","SN Ia","0.071","1"
"PTF09aly",NULL,"234.637804","13.344254","SN Ia","0.049","1"
"PTF09amm",NULL,"230.87221","37.878798","SN Ia","0.07","1"
"PTF09aro",NULL,"227.978785","48.669406","SN Ia","0.085","1"
"PTF09atw",NULL,"252.760192","26.604571","SN Ia","0.053","1"
"PTF09aus",NULL,"225.230519","-0.192536","SN Ia","0.04","0"
"PTF09av","2009cp","138.803217","19.096335","SN Ia","0.22","1"
"PTF09awa","2009en","221.593804","13.024031","SN Ia",NULL,"2"
"PTF09awd",NULL,"221.107776","12.107269","SN Ia","0.153","1"
"PTF09aws",NULL,"227.622047","20.92222","SN Ia","0.08","0"
"PTF09awt",NULL,"236.761734","40.689086","SN Ia","0.185","1"
"PTF09awx",NULL,"207.18712","37.434691","SN Ia","0.1265","5"
"PTF09axg",NULL,"230.879191","14.182134","SN Ia","0.18","0"
"PTF09azf","2009fv","247.433446","40.811411","SN Ia","0.0293","3"
"PTF09azm",NULL,"231.963728","41.143246","SN Ia","0.2","0"
"PTF09azu",NULL,"199.688118","40.735395","SN Ia","0.114","1"
"PTF09azv",NULL,"223.089145","46.730572","SN Ia","0.13","1"
"PTF09bad",NULL,"244.003121","56.346632","SN Ia","0.1385","5"
"PTF09bai",NULL,"230.098128","26.424681","SN Ia","0.18","1"
"PTF09bak",NULL,"243.921029","52.251257","SN Ia","0.03","0"
"PTF09bam",NULL,"195.945029","65.611079","SN Ia","0.15","1"
"PTF09bau",NULL,"199.696585","60.534408","SN Ia","0.07","1"
"PTF09bc","2009ch","162.785707","74.08981","SN Ia","0.17","1"
"PTF09bck",NULL,"209.18402","24.446833","SN Ia","0.1","1"
"PTF09bdb",NULL,"317.752784","-14.026394","SN Ia","0.03","1"
"PTF09bh","2009cx","186.163657","8.933169","SN Ia","0.175","1"
"PTF09bha",NULL,"337.150427","34.878257","SN Ia","0.18","0"
"PTF09biq","2009hi","350.984363","16.774949","SN Ia","0.04","5"
"PTF09bj","2009cr","169.526697","12.895411","SN Ia","0.144","1"
"PTF09bjs",NULL,"238.886983","53.033824","SN Ia","0.066","0"
"PTF09by","2009cu","202.303018","46.724387","SN Ia","0.1","1"
"PTF09c","2009an","185.6975","65.85125","SN Ia","0.009373","3"
"PTF09cbu",NULL,"357.653034","26.041857","SN Ia","0.057","1"
"PTF09cex",NULL,"356.224141","-9.691044","SN Ia","0.07","1"
"PTF09cfx",NULL,"316.812396","-22.524528","SN Ia","0.09","0"
"PTF09csj",NULL,"243.226206","34.279076","SN Ia","0.09","1"
"PTF09csl",NULL,"264.629848","36.753849","SN Ia","0.14","1"
"PTF09csn",NULL,"246.726941","25.979242","SN Ia","0.11","2"
"PTF09cug",NULL,"245.546757","15.868488","SN Ia","0.16","1"
"PTF09ddw",NULL,"351.886446","27.063345","SN Ia","0.122","1"
"PTF09dgr",NULL,"244.280682","38.972083","SN Ia","0.14","1"
"PTF09dh","2009dr","221.175308","49.729149","SN Ia","0.199","6"
"PTF09dhu",NULL,"347.150227","12.373578","SN Ia","0.15","1"
"PTF09dhx",NULL,"336.595192","10.826181","SN Ia","0.087","1"
"PTF09dib",NULL,"245.387087","11.612329","SN Ia","0.1","1"
"PTF09dic",NULL,"353.789683","18.934008","SN Ia","0.07","1"
"PTF09dih",NULL,"227.579318","43.72831","SN Ia","0.119","1"
