SN Name,Type,Redshift
# asassn-14hu not observed wrong coordinates,Ia,0.015
# asassn-16do is a cv,,
# no sn2010am -- mislabeled in template observations,,
# sn2017fyp nova,nova,
#AT2016cny,cv,
#AT2017bgt,AGN,
#AT2019azh,TDE,
#AT2021afkg,AGN,
#AT2021afpi,CV,
#AT2021sdu,TDE,
#Asassn-14ae,tidal disruption event,0.043671
#Asassn-15ek nova,nova,
#Asassn-15th,Nova,
#Asassn-17lz declined,Ia,0.017
#MASTERJ132501.00+431846.1 CV,Unk,0.004
#OGLE17aaj?,TDE,
#PTF10fqs red nova,,
"#Sn2010b was not observed, sn2011b was misnamed in request",,
#Sn2016ajn,CV or nova,
#Sn2016cpd,,
#Sn2016ewr,CV,
#Sn2017bgt,AGN,0.064
#Sn2017cxx,,
#Sn2017egv,cv,
#Sn2017emb not observed_mislabeled should be 2017ebm?,,
#Sn2017fro?,AGN,0.164
#Sn2017fzy declined,Ia,0.014
#Sn2017ghu declined?,unk,0.018
#Sninngc5112,LBV,0.003252
#beginning of swift-asassn program,,
#iPTF15eov,,
ASassn-13ch,Ia,0.01646
ASassn-13cj,Ia,0.018
ASassn-13co,II,0.023063
ASassn-13dd,Ia,0.01255
ASassn-13dn,II,0.023
ASassn-14ad,Ia,0.026425
ASassn-14ar,Ia,0.02298
ASassn-14bu,IIP,0.0254
ASassn-14dc,IIn/Ia-CSM,0.044
ASassn-14dd,Ibn,0.017722
ASassn-14eu,Ia-pec?,0.022722
ASassn-14fa,Ia,0.022589
ASassn-14fd,IIn,0.015367
ASassn-14ha,II,0.005017
ASassn-14il,IIn,0.021989
ASassn-14jb,II,0.006031
ASassn-14kd,Ia-91T,0.026
ASassn-14kr,Ia,0.014
ASassn-14lp,Ia,0.0051
ASassn-14lw,Ia,0.023
ASassn-14ms,Ibn,0.054
ASassn-15aj,Ia,0.010921
ASassn-15ar,Ia,0.02882
ASassn-15cq,Ia,0.027276
ASassn-15fi,II,0.017182
ASassn-15fz,II,0.017479
ASassn-15ga,Ia-99by,0.006631
ASassn-15hf,Ia,0.006178
ASassn-15hx,Ia,0.01?
ASassn-15hy,Ia-SC,0.025
ASassn-15kg,Ia-pec?,0.014257
ASassn-15lh,SLSN-I,0.2326
ASassn-15mj,Ib,0.0344
ASassn-15ns,Ia,0.030671
ASassn-15od,Ia,0.017989
ASassn-15og,Ia-CSM,0.0437
ASassn-15oz,II,0.006929
ASassn-15pz,Ia-SC,0.014903
ASassn-15qc,Ia,0.017649
ASassn-15qh,II,0.010207
ASassn-15rq,Ia,0.025
ASassn-15rw,Ia,0.0189
ASassn-15sf,Ia,0.027
ASassn-15so,Ia,0.007125
ASassn-15ti,Ia,0.016
ASassn-15tj,Ia,0.022265
ASassn-15ts,Ia,0.059978
ASassn-15ua,,
ASassn-15uh,Ia-91T,0.0135
ASassn-15um,Ic,0.02
ASassn-15ut,Ia-pec,0.011471
ASassn-15uw,Ia,0.030811
ASassn-17ea,Ia,0.014
ASassn-17em,,
ASassn-17fk,Ia,0.007
ASassn-17gx,,
ASassn-17hb,Ia,0.019
ASassn-17ho,,
ASassn-17ip,Unk,0.018
ASassn-17mh,Ia,0.015427
ASassn-17mz,Ia,0.0161
ASassn-17ng,Ia,0.016151
ASassn-17pg,Ia,0.005624
ASassn-17pk,Ia,0.013493
ASassn-17qg,Ia,0.01933
ASassn-17qz,Ia,0.017
ASassn-17ri,Ia,0.019417
ASassn-18aar,,
ASassn-18an,Ia,0.017906
ASassn-18ap,II,0.037503
ASassn-18bt,Ia,0.010981
ASassn-18da,Ia,0.02
ASassn-18ge,Ib,0.01814
ASassn-18gq,,0.001818
ASassn-18ze,,
AT2016blu,LBV,0.002692
AT2019clr,,
AT2019eez,,
AT2021agbn,II,
CSS081009,SLSN-II,0.285
CSS14,IIn,0.033
CSS140914,Ia,0.03
CSS141028,Ib,0.009
DES15S2nr,SLSN-I,0.22
Gaia15acw,II,0.025114
Gaia16alf,Ia,0.094
LSQ11ot,Ia,0.026
LSQ12gdj,Ia-SC,0.0303
LSQ13crf,Ia,0.06
LSQ13cuw,IIL,0.05
LSQ13ddu,I,0.058454
LSQ13ry,Ia,0.029857
LSQ14mo,SLSN-I,0.25
LSQ14pt,IIn,0.059
LSQ15abl,SLSN-II,0.1
OGLE15qz,SLSN-I,0.63
OGLE15sd,SLSN-I,0.56
OGLE16dmu,SLSN-I,0.426
PS1-12sk,Ibn,0.054
PS1-14xw,Ia,0.02448
PS15aot,Ia-91bg?,0.030354
PS15bgt,Ib-IIb,0.0089
PS15blq,SLSN-IIn,0.125
PS15br,SLSN-II,0.101
PS15ces,IIn,0.134
PS15cku,Ia,0.023
PS15cwo,IIP,0.037
PS15cww,IIn,0.063
PS15jf,imposter?,0.004923
PSn2014inm61,imp?,0.005224
PSninngc55,imposter?,0.00043
PSnj09100885+5003396,Ia-SC,0.026
PSnj23374322-4730393,Ia,0.011014
PTF09atu,SLSN-I,0.501
PTF09cnd,SLSN-I,0.258
PTF09dlc,Ia,0.07
PTF09dnp,Ia,0.04
PTF10aagc,SLSN-I,0.206
PTF10abyy,II,0.0297
PTF10icb,Ia,0.008606
PTF10qaf,SLSN-II,0.2836
PTF10qts,Ic-BL,0.0907
PTF11dsf,SLSN-II,0.3848
PTF11iqb,IIn,0.012499
PTF11qax,II,0.021854
PTF11qcj,Ic-BL,0.0287
PTF11rks,SLSN-I,0.1924
PTF12dam,SLSN-I,0.1073
PTF12epg,SLSN-II,
PTF12gzk,Ic,0.0137
PTF12mkp,SLSN-II,0.153
PTF12mxx,SLSN-I,0.3296
PTF13bvn,Ic,0.00449
SN2005am,Ia,0.0079
SN2005bc,Ia,0.01227
SN2005bf,Ib,0.01891
SN2005cf,Ia,0.00646
SN2005cs,II,0.00154
SN2005da,Ic-bl,0.01501
SN2005df,Ia,0.00435
SN2005ek,Ic,0.016551
SN2005gj,Ia-CSM,0.062
SN2005hk,Ia-02cx,0.01299
SN2005ip,IIn,0.007138
SN2005kd,IIn,0.01504
SN2005ke,Ia-91bg,0.00488
SN2005mz,Ia-91bg,0.01756
SN2006aj,Ic-bl,0.033
SN2006at,II,0.01
SN2006bc,II,0.00455
SN2006bp,IIP,0.00351
SN2006bv,IIn,0.00838
SN2006dd,Ia,0.00587
SN2006dm,Ia,0.02202
SN2006dn,Ib,0.017179
SN2006e,Ia,0.00272
SN2006ej,Ia,0.02045
SN2006gy,IIn,0.01919
SN2006jc,Ibn,0.00557
SN2006jd,IIb/IIn,0.018556
SN2006lc,Ib,0.01623
SN2006lt,Ib,0.015
SN2006mr,Ia,0.00587
SN2006t,IIb,0.00809
SN2006x,Ia,0.00524
SN2007aa,II,0.004887
SN2007af,Ia,0.005464
SN2007ax,Ia-91bg,0.006861
SN2007bb,II,0.020858
SN2007bg,Ic-bl,0.034
SN2007bm,Ia,0.006211
SN2007c,Ib,0.005604
SN2007ch,IIP,0.007315
SN2007ck,II ,0.016962
SN2007co,Ia,0.016962
SN2007cq,Ia-91T,0.025
SN2007cv,Ia,0.007562
SN2007d,Ic-bl,0.023146
SN2007fo,Ib,0.009333
SN2007gi,Ia,0.00482
SN2007i,Ic-bl,0.021639
SN2007od,II,0.005784
SN2007on,Ia,0.006494
SN2007pk,IIn,0.016655
SN2007s,Ia,0.01388
SN2007sr,Ia,0.005688
SN2007uy,Ib ,0.006494
SN2007y,Ibc,0.004637
SN2008a,Ia-02cx,0.016428
SN2008ae,Ia-02cx,0.030002
SN2008am,IIn,0.234
SN2008aq,IIb,0.007972
SN2008aw,II,0.010374
SN2008ax,IIb,0.001885
SN2008bo,Ib,0.00495
SN2008cg,Ia-CSM?,0.036
SN2008d,Ib,0.006494
SN2008dq,Ic,0.031358
SN2008dx,Ia-91bg,0.035
SN2008eb,Ic,0.007612
SN2008ec,Ia,0.016317
SN2008es,SLSN-II,0.205
SN2008ex,IIn,0.013159
SN2008fz,Ic,0.133
SN2008ge,Ia,0.004043
SN2008ha,Ia,0.004647
SN2008hs,Ia,0.017369
SN2008hv,Ia,0.012549
SN2008ij,II,0.00495
SN2008in,IIP,0.005224
SN2008iy,SLSN-II,0.0411
SN2008m,II ,0.007562
SN2008q,Ia,0.007935
SN2008s,IIn-Imp?,0.00016
SN2009aj,II,0.009618
SN2009an,Ia,0.009233
SN2009at,II,0.005014
SN2009au,IIn,0.009404
SN2009ay,II,0.022182
SN2009bb,Ic,0.009877
SN2009bw,II,0.003853
SN2009cz,Ia,0.021138
SN2009dc,Ia-SC,0.021391
SN2009dd,II,0.002524
SN2009gf,Ia,0.018523
SN2009gj,IIb,0.005277
SN2009hd,II,0.002425
SN2009ig,Ia,0.00877
SN2009ip,imp-IIn,0.005944
SN2009iz,Ib,0.014196
SN2009jb,Ia,0.03
SN2009jf,Ib,0.007942
SN2009jh,SLSN-I,0.349
SN2009jr,Ia,0.016548
SN2009kr,IIn/L?,0.006468
SN2009ll,IIP,0.044537
SN2009lm,IIP,0.01908
SN2009mg,IIb,0.007562
SN2009mi,Ic,0.010377
SN2009mk,IIb,0.005043
SN2009n,IIP,0.003449
SN2009y,Ia,0.009353
SN2010ae,Ia-p,0.003662
SN2010ah,Ic,0.0498
SN2010al,IIn,0.0172
SN2010bj,IIP,0.007589
SN2010br,Ibc,0.002336
SN2010bt,IIn,0.016151
SN2010bv,Ia,0.008659
SN2010c,LBV,0.026758
SN2010cn,Ib,0.026
SN2010cr,Ia,0.02157
SN2010da,LBV,0.00048
SN2010dn,LBV,0.001975
SN2010dv,?,0.009924
SN2010el,Ia-p,0.005017
SN2010ev,Ia,0.009211
SN2010f,II,0.00931
SN2010fy,Ia,0.049
