SN 2005gj,Supernova,45.299792,-0.553861
SN 2005ke,SN,53.7667,-24.9439
SN 2005hk,supernova,0:27:51,-01:11:52
SN2005ek,Ic Supernova,46.454,36.7696
SN2005da,Supernova,279.446,17.543
SN2005cs,Type II Supernova,202.4708,47.1767
sn 2006X,supemova,3:22:42,-37:12:28.
SDSS-SN15207,Unknown,20:58:43,+01:02:48
SNF20061011,supernova,34.4958,30.6992
SN2006dn,Type Ib supernova,341.9083,39.8797
SN 2006dm,Supernova,355.45,-3.6689
SN 2006bp,Supernova,178.4833,52.3525
SN 2006bc,Supernova,110.3167,-68.9992
SN2006at,Supernova,198.17129,63.27928
sn 2006X,supemova,12:22:54,+15:48:33
SN 2006T,supernova,148.625,-25.7081
SN 2006E,Supernova,208.369375,5.206333
SN2005mz,Supernova,49.9583,41.5053
SN 2006jd,Supernova,120.5292,0.8089
SN 2007pk,Supernova,22.9458,33.615
SN2007on,supernova,54.7125,-35.575
SN2007od,supernova,358.9417,18.425
SN 2007gi,Supernova,180.3458,61.8925
SN2007fo,Type Ibc SN,354.0583,2.1583
SN2007ct,supernova,309.5471,6.9027
SN2007cv,Supernova,159.4477,-27.0817
SN2007cq,supernova,333.669542,5.078722
SN2007co,Supernova,275.7625,29.8972
SN 2007ch,Supernova,237.45,-29.3872
SNF-J152501.79-013020.8,unknown,231.257083,-1.505778
SN2007bm,Supernova,171.260292,-9.795389
SN2007bg,Broad-lined Type Ic SN,177.3583,51.8228
SN 2007bb,Supernova,105.2792,51.2658
SN 2004dj,SN in stellar cluster,114.3208,65.5994
SN2007af,Supernova,215.599033,-0.387664
SN2007aa,Supernova,180.115375,-1.081
SN 2007Y,supernova,45.65,-22.8972
SN 2005ip,SNe,143.0292,8.4456
SN 2007S,supernova,150.12917,4.40722
SN 2005kd,Supernova (Type IIn),60.8208,71.7219
SN2007I,broad-lined SN Ic,179.8042,-1.605
SN2007D,SN Ic,49.6625,37.6072
SN2007C,Supernova Ib,197.20308,-6.777528
SN 2008in,supernova,185.5083,4.4797
SN 2008ij,supernova,274.9667,74.5653
SN2008bm,SN,195.7458,10.5075
SN 2008hv,supernova,136.8917,3.3922
SN in NGC910,supernova,36.361583,41.824278
unknown LAT burst,GRB,170,15
SN2008hi,supernova,6.683417,-3.596583
SN 2008ha,sipernova,353.7208,18.2264
SN 2008fz,supernova,349.06917,11.71319
SN 2008ge,supernova,62.1,-47.8964
SN 2008es (also ROTSE3 J115649.1+542726),SN,179.2044,54.4569
SNF20080720-001,supernova,16.363331,37.853071
SN in NGC7469,Supernova,345.8102,8.8722
SN 2006jd,Supernova,120.5292,0.8089
SN 2008cg,Supernova,238.5625,10.9736
SN: ROTSE3 J130014.3+275716,supernova,195.0596,27.9546
SNF20080514-002,supernova,202.303417,11.272389
SN2008bo,supernova,274.975,74.5725
SN in NGC 4490 (2008ax),Supernova,187.6708,41.6375
sn 2008X1 (2008aw),supernova,196.0583,-10.32
SN2007bg,SN Ibc,177.3583,51.8228
SN in MCG-02-33-020,supernova,192.62675,-10.867
SN 2008ae,supernova,149.0125,10.4994
SN 2008S,Supernova,308.6875,60.0994
SN 2008Q,supernova,21.2375,9.5503
SN2008M,Supernova,95.422,-59.729
SN 2008A,supernova,24.5708,35.3706
SN2007ax,Supernova,125.6792,22.5547
SN2007uy,SN Ibc,137.3958,33.1194
SN 2009mk,Supernova,1.5917,-41.4833
SN 2009mg,Supernova,95.4375,-59.74
SN 2009mg,Supernova,95.4375,-59.7406
SN 2009lq,Supernova,63.7167,-62.8375
SN 2009lm,Supernova,145.8,-9.6056
SN 2009ll,Supernova,100.5542,-61.0742
SN 2007pk,Supernova,22.9461,33.615
SN 2005ip,Supernova,143.0267,8.4457
SN 2009kr,Supernova,78.0125,-15.6978
SN 2009jr,Supernova,306.6083,2.9089
SN2009jf,Supernova,346.22075,12.333194
SN 2009iz,Supernova,40.5625,42.3972
SN2009ip,LBV Outburst,335.7833,-28.9478
PTF09cwl,Supernova,222.291998,29.419833
PTF09dlc,Supernova,326.62543,6.419234
PTF09dnp,Supernova,229.85152,49.49898
PTF09dnl,Supernova,260.9242,30.4971
SN 2009ig,Supernova,39.55,-1.3125
SN 2009gf,Supernova,213.9134,14.28261
SN 2006jd,Supernova,120.53,0.809
SN2009gf,Supernova,213.91345,14.282616
SN2009hd,Supernova,170.070667,12.979611
SN 2009dd,Supernova,181.39177,50.538283
SN 2009gj,Supernova,7.619,-33.215556
SN 2009gj,Supernova,7.619,-33.2156
SN2009gf,Supernova,213.91345,14.282616
SN2007bg,Supernova,177.3583,51.8228
sn2008ex,Supernova,290.1195,30.8283
SN 2009dd,Supernova,181.39177,50.538283
PTF09dh,possible luminous supernova,221.175308,49.729149
SN2009dc,supernova,237.805328,25.701916
SN2009dc,Supernova,237.805328,25.701916
SN2009dd,Supernova,181.392458,50.539028
SN2009cz,Supernova Ia,138.750083,29.735306
SN2009bb,Radio bright Type Ic SN,157.8917,-39.9583
SN2009bb,broad-lined SN Ic,157.8917,-39.9583
SN 2009bw,supernova,59.0292,72.9281
SN2009ay,transient or SN,267.0958,54.1486
SN 2009bb,supernova,157.8917,-39.9583
SN2009au,SN IIn,194.94125,-29.600222
SN 2009at,Supernova,206.6083,46.0525
SN 2009an,Supernova Ia,185.6948,65.8438
SN 2009an,Supernova,185.6975,65.85125
SN 2009aj,supernova,209.1875,-48.4933
LAT GRB090217206,GRB,205.434,-9.122
SN2009Y,supernova,220.6,-17.2467
SN 2009Y IN NGC 5728,Supernova,220.6,-17.246
SN 2009Y,supernova,220.6,-17.2461
SN2009Y,supernova,220.6,-17.2467
SN2008ha,Supernova,353.719542,18.2265
SN2009N,supernova,187.7875,-8.0489
SN 2010ko,Supernova,83.2042,-14.0961
SN 2010jr,Supernova,79.8917,-32.6542
PTF10abyy,Supernova,79.16885,6.798268
SN 2010kd,Supernova,182.0042,49.2253
PTF10acbp,Optical Transient,334.231108,41.515266
sn2010kg,Supernova,70.0333,7.35
PTF10abyy,Supernova,79.16885,6.798268
PTF10abpr,Supernova,60.910523,70.754588
SN-NGC1954,Supernova,83.2042,-14.0961
SN2010kg,Supernova,70.0333,7.35
