name,type,redshift,OtherName,right ascension,declination
iPTF15dof,SNII,0.0972, ,23 24 13.1451,+35 07 36.9692
SN2015fn,SNIc,0.0524, ,02 30 20.0551,+37 14 06.3895
iPTF15dum,SNIbn,0.0697, ,00 25 05.2413,-04 10 08.1394
iPTF15eov,SLSN-I,0.0536, ,04 05 41.5686,+28 56 40.6687
iPTF15eqq,SNII,0.0981, ,05 12 34.3936,+17 11 09.9172
SN2016wi,SLSN-I,0.2239,iPTF15esb,07 58 50.6706,+66 07 39.1627
iPTF15ul,SNIbn,0.065715, ,12 14 03.7386,+47 54 03.7267
iPTF16asu,SNIc-BL,0.1874, ,12 59 09.2775,+13 48 09.2128
SN2016edk,SNIbn,0.0744,iPTF16bkn,17 47 14.2251,+30 13 29.4992
SN2016bar,SNII,0.05893,iPTF16br,12 07 07.2552,+53 40 06.4668
iPTF16eh,SLSN-I,0.428, ,12 41 06.2105,+32 48 30.6673
SN2016gdw,SNII,0.061,iPTF16gdw,22 27 05.1032,+23 16 45.5174
SN2016grk,SNII,0.016525,iPTF16grk,21 19 41.2688,+21 57 56.1686
SN2016hzg,SNII,0.01889,iPTF16hzg,01 04 37.1052,-02 32 32.2544
iPTF13asv,Ia,, ,,
iPTF13dge,Ia,, ,,
iPTF13ebh,Ia,, ,,
iPTF14atg,Ia,, ,,
iPTF14bdn,Ia,, ,,
SN2016bln,Ia,, ,203.68955,13.853972
SN2016ccz,Ia,0.0149, ,217.788333,27.235972
PTF09dh,Ia,0.199, ,221.175308,49.729149
PTF09dh,Ia,0.199, ,221.175308,49.729149
PTF09dlc,Ia,0.068, ,326.625436,6.419234
PTF09dlc,Ia,0.068, ,326.625436,6.419234
PTF09dnl,Ia,0.019, ,260.924126,30.497098
PTF09dnl,Ia,0.019, ,260.924126,30.497098
PTF09dnp,Ia,0.037, ,229.851529,49.49898
PTF09dnp,Ia,0.037, ,229.851529,49.49898
PTF10bjs,Ia,0.0296, ,195.296789,53.81592
PTF10bjs,Ia,0.0296, ,195.296789,53.81592
SN2010b,Ia,0.01, ,208.536507,60.680669
PTF10fps,Ia,0.022, ,202.35442,11.79625
PTF10fps,Ia,0.022, ,202.35442,11.79625
PTF10gbq,Ia,0.1, ,248.93154,58.74761
PTF10gbq,Ia,0.1, ,248.93154,58.74761
PTF10icb,Ia,0.0086, ,193.705042,58.881858
PTF10icb,Ia,0.0086, ,193.705042,58.881858
