# SN2017hcc magnitudes from Swift UVOT                                                        
# generated Mon Nov 30 08:53:48 CST 2020 using version 2015.1                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel4.5(Bld34)_27Jul2015 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
UVW2     58054.3971  12.485   0.040  20.060  11.085  90.745   3.343  5.0  0.0110     367.89     373.78
UVW2     58056.1252  12.523   0.041  18.957  11.085  87.692   3.298  5.0  0.0110     106.45     108.16
UVW2     58060.9783  12.589   0.040  21.224  11.085  82.487   3.008  5.0  0.0110    1803.75   35388.12
UVW2     58062.8146  12.625   0.040  20.518  11.085  79.770   2.934  5.0  0.0110     668.84    5678.62
UVW2     58067.6893  12.777   0.040  20.369  11.085  69.366   2.575  5.0  0.0110     503.25   35700.21
UVW2     58073.4673  12.971   0.041  20.058  11.085  58.010   2.194  5.0  0.0110     325.56     330.78
UVW2     58076.6138  13.123   0.041  20.446  11.085  50.423   1.905  5.0  0.0110     542.86    5567.77
UVW2     58079.6043  13.271   0.042  20.294  11.085  44.016   1.692  5.0  0.0110     433.61    5809.32
UVW2     58087.5883  13.759   0.044  20.539  11.085  28.069   1.135  5.0  0.0110     504.98   63806.96
UVW2     58091.6342  14.019   0.046  20.584  11.085  22.091   0.932  5.0  0.0110     520.22    5394.35
UVW2     58096.0860  14.329   0.049  20.520  11.085  16.614   0.757  5.0  0.0110     480.63  155990.20
UVW2     58099.3354  14.547   0.052  20.598  11.085  13.592   0.651  5.0  0.0110     542.87    4813.84
#UVW2     58261.8255  17.533   0.073  21.069  11.086   0.869   0.059  3.0  0.0110    1293.60   11963.21
#                                                                                           
UVM2     58054.4020  12.325   0.041  19.544  10.554  64.568   2.430  5.0  0.0110     253.84     257.91
UVM2     58060.9833  12.387   0.040  21.373  10.554  60.973   2.230  5.0  0.0110    2701.35   35172.56
UVM2     58062.5425  12.416   0.040  21.437  10.554  59.379   2.172  5.0  0.0110    2918.06    7303.00
UVM2     58062.8189  12.409   0.041  20.003  10.554  59.765   2.236  5.0  0.0110     441.97    5743.47
UVM2     58067.6922  12.543   0.041  20.490  10.554  52.820   1.971  5.0  0.0110     764.05   35666.44
UVM2     58073.4729  12.775   0.042  20.154  10.554  42.657   1.634  5.0  0.0110     481.77     489.49
UVM2     58076.6178  12.890   0.041  20.507  10.555  38.362   1.465  5.0  0.0110     765.79    5204.14
UVM2     58079.6081  13.027   0.042  20.388  10.555  33.829   1.314  5.0  0.0110     647.44    6034.06
UVM2     58087.5903  13.488   0.045  20.460  10.555  22.113   0.914  5.0  0.0110     645.95   63836.16
UVM2     58091.6383  13.754   0.047  20.653  10.554  17.312   0.745  5.0  0.0110     754.49    5261.18
UVM2     58096.0889  14.048   0.050  20.675  10.554  13.206   0.609  5.0  0.0110     770.21  156121.27
UVM2     58099.3402  14.272   0.053  20.724  10.555  10.749   0.524  5.0  0.0110     851.74    4822.69
#UVM2     58261.8330  17.388   0.067  21.203  10.555   0.609   0.038  3.0  0.0110    1959.65   12186.53
#                                                                                           
UVW1     58054.3916  12.400   0.040  19.092  11.146 103.746   3.837  5.0  0.0110     183.82     186.77
UVW1     58056.0897  12.403   0.040  19.674  11.145 103.463   3.801  5.0  0.0110     300.74    5841.96
