# SN2012fr magnitudes from Swift UVOT                                                      
# generated Tue Apr 9 08:03:30 CDT 2013 using Swift_Rel3.8(Bld27)_07Apr2011                                            
# using the method detailed in Brown et al. (2009)                           
#
# Reference: Pending (
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the S/N) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.           
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, in preparation
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
# The underlying galaxy had the following count rates                                     
# in a 5 arcsec aperture at the source position  
# (missing filters have a template rate of zero but a background region similar to the SN ):
# Galaxy count rates in 5" aperture
# V         2.144  0.166
# B         3.210  0.380
# U         1.400  0.054
# UVW1      0.420  0.180
# UVM2      0.196  0.023
# UVW2      0.318  0.045
# Beware of galaxy count rates > ~ 6
#                                                                                         
# There are no known issues with this photometry.                                         
#                                                                                         
# MJD Mag MagErr 3SigMagLimit Rate RateErr                                       
#                                                                                         
# uvw2                                                                                    
56228.8129 17.829  0.115 19.077   0.699  0.074
56231.4876 15.112  0.043 17.413   8.535  0.342
56233.4242 14.117  0.036 16.611  21.345  0.715
56235.2091 13.592  0.035 16.130  34.625  1.114
56235.6577 13.522  0.034 16.089  36.916  1.157
56237.2293 13.343  0.035 15.887  43.545  1.393
56239.0985 13.197  0.038 15.651  49.814  1.732
56241.1381 13.185  0.036 15.694  50.339  1.664
56243.6768 13.293  0.035 15.823  45.602  1.478
56247.5565 13.533  0.036 16.035  36.532  1.215
56249.6272 13.676  0.037 16.167  32.021  1.077
56251.1949 13.861  0.038 16.316  27.026  0.938
56253.4944 14.084  0.039 16.499  22.005  0.793
56255.9090 14.435  0.042 16.768  15.929  0.619
56257.3780 14.565  0.043 16.872  14.121  0.562
56259.7058 14.829  0.048 17.015  11.073  0.493
56261.8538 15.073  0.051 17.210   8.844  0.412
56263.6453 15.326  0.059 17.290   7.006  0.383
56265.7914 15.503  0.062 17.415   5.956  0.341
56267.7241 15.661  0.067 17.485   5.150  0.320
56269.5888 15.815  0.074 17.531   4.469  0.307
56275.1329 16.219  0.081 17.847   3.078  0.229
56283.0468 16.593  0.085 18.163   2.182  0.171
56287.4572 16.693  0.083 18.295   1.990  0.152
56291.1663 16.930  0.091 18.434   1.599  0.133
56295.5099 16.929  0.090 18.441   1.602  0.133
56299.7166 17.036  0.093 18.506   1.451  0.125
56303.4601 17.141  0.098 18.555   1.317  0.119
56314.1804 17.291  0.091 18.790   1.147  0.096
56315.5830 17.360  0.086 18.924   1.076  0.085
56320.5180 17.434  0.099 18.837   1.006  0.092
56326.2583 17.578  0.103 18.941   0.880  0.084
56332.3515 17.729  0.115 18.971   0.766  0.081
56338.5581 17.680  0.110 18.976   0.802  0.081
56344.0717 17.789  0.111 19.076   0.725  0.074
56350.2398 18.062  0.130 19.172   0.564  0.068
56356.3199 18.008  0.121 19.199   0.592  0.066
56362.0610 18.274  0.148 19.244   0.464  0.063
#                                                                                         
# uvot u                                                                                 
56228.8143 15.945  0.052 18.054   9.080  0.434
56231.4894 13.359  0.034 15.938  98.273  3.046
56233.4261 12.490  0.033 15.089 218.730  6.660
56235.2433   NULL   NULL   NULL    NULL   NULL
56237.2302   NULL   NULL   NULL    NULL   NULL
56239.0988   NULL   NULL   NULL    NULL   NULL
56241.1390   NULL   NULL   NULL    NULL   NULL
56243.6781   NULL   NULL   NULL    NULL   NULL
56244.4115   NULL   NULL   NULL    NULL   NULL
56247.5578   NULL   NULL   NULL    NULL   NULL
56249.6286   NULL   NULL   NULL    NULL   NULL
56251.1956 12.347  0.033 14.941 249.523  7.628
56253.4957 12.618  0.034 15.200 194.457  6.010
56255.9102 12.865  0.034 15.432 154.818  4.855
56257.3793 13.037  0.034 15.593 132.207  4.186
56259.7069 13.368  0.036 15.879  97.412  3.216
56261.8552 13.592  0.036 16.090  79.253  2.647
56263.6464 13.714  0.038 16.166  70.892  2.470
56265.7926 14.013  0.039 16.433  53.790  1.931
56267.7253 14.174  0.040 16.560  46.388  1.717
56269.5899 14.287  0.042 16.631  41.815  1.609
56275.1344 14.662  0.044 16.956  29.598  1.192
56279.6793 14.972  0.045 17.227  22.243  0.929
56283.0477 15.184  0.050 17.333  18.305  0.843
56287.4584 15.242  0.047 17.456  17.345  0.752
56291.1682 15.267  0.048 17.452  16.955  0.755
56295.5119 15.349  0.049 17.513  15.721  0.714
56299.7185 15.502  0.052 17.608  13.651  0.654
56303.4610 15.590  0.055 17.634  12.595  0.639
56314.1818 15.686  0.050 17.835  11.527  0.531
56315.5518 15.629  0.048 17.813  12.151  0.541
56320.5191 15.791  0.057 17.806  10.463  0.545
56326.2593 15.835  0.060 17.787  10.049  0.555
56332.3529 15.955  0.059 17.920   8.992  0.491
56338.5595 16.086  0.062 18.003   7.976  0.455
56344.0731 16.222  0.063 18.127   7.032  0.405
56350.2411 16.333  0.075 18.045   6.351  0.437
56356.3216 16.441  0.071 18.209   5.751  0.376
56362.0622 16.626  0.084 18.210   4.850  0.376
#                                                                                         
# uvot b                                                                                 
56228.8153 15.208  0.041 17.566  36.374  1.381
56231.4903 13.392  0.034 15.974 193.765  5.990
56233.4271   NULL   NULL   NULL    NULL   NULL
56235.2436   NULL   NULL   NULL    NULL   NULL
56237.2308   NULL   NULL   NULL    NULL   NULL
56239.0990   NULL   NULL   NULL    NULL   NULL
56241.1395   NULL   NULL   NULL    NULL   NULL
56243.6789   NULL   NULL   NULL    NULL   NULL
56247.5585   NULL   NULL   NULL    NULL   NULL
56249.6294   NULL   NULL   NULL    NULL   NULL
56251.1959   NULL   NULL   NULL    NULL   NULL
56253.4963   NULL   NULL   NULL    NULL   NULL
56255.9109   NULL   NULL   NULL    NULL   NULL
56257.3800   NULL   NULL   NULL    NULL   NULL
56259.7075 13.117  0.034 15.696 249.597  7.735
56261.8559 13.278  0.034 15.851 215.116  6.704
56263.6470 13.465  0.034 16.019 181.120  5.745
56265.7933 13.605  0.035 16.152 159.213  5.081
56267.7259 13.798  0.035 16.326 133.274  4.331
56269.5905 13.934  0.036 16.440 117.646  3.898
56275.1351 14.343  0.037 16.804  80.722  2.788
56279.6802 14.643  0.039 17.067  61.210  2.188
56283.0482 14.766  0.041 17.140  54.628  2.046
56287.4590 14.888  0.040 17.275  48.864  1.807
56291.1692 14.949  0.041 17.315  46.184  1.742
56295.5129 14.989  0.041 17.348  44.489  1.690
56299.7195 15.038  0.042 17.381  42.551  1.638
56303.4615 15.099  0.043 17.412  40.200  1.593
56314.1825 15.257  0.042 17.585  34.785  1.358
56315.5535 15.293  0.043 17.618  33.636  1.317
56320.5198 15.454  0.047 17.666  29.010  1.261
56326.2598 15.480  0.049 17.655  28.313  1.273
56332.3535 15.569  0.048 17.761  26.091  1.155
56338.5601 15.646  0.049 17.808  24.293  1.106
56344.0738 15.754  0.050 17.901  21.992  1.015
56350.2416 15.897  0.058 17.889  19.285  1.026
56356.3224 15.926  0.055 17.976  18.779  0.947
56362.0629 16.050  0.061 17.986  16.751  0.939
#                                                                                         
# uvot v                                                                                 
56228.8200 14.954  0.048 17.142  14.941  0.664
56231.4958 13.427  0.035 15.958  61.000  1.975
56233.4324 12.890  0.034 15.443 100.032  3.175
56235.2452 12.564  0.034 15.134 135.018  4.218
56237.2338 12.339  0.034 14.912 166.085  5.175
56239.0999 12.154  0.035 14.698 197.021  6.306
56241.1421 12.057  0.034 14.628 215.426  6.724
56243.6830 11.996  0.033 14.580 227.900  7.028
56247.5624 12.034  0.034 14.616 219.913  6.797
56249.6336 12.099  0.034 14.679 207.131  6.414
56251.1979 12.129  0.034 14.706 201.608  6.261
56253.5002 12.254  0.034 14.823 179.670  5.621
56255.9147 12.403  0.034 14.960 156.619  4.952
56257.3840 12.496  0.035 15.048 143.694  4.566
56259.7108 12.578  0.035 15.114 133.254  4.297
56261.8600 12.753  0.035 15.282 113.439  3.684
56263.6500 12.784  0.036 15.292 110.259  3.649
56265.7969 12.846  0.036 15.357 104.169  3.437
56267.7296 12.906  0.036 15.410  98.497  3.272
56269.5939 12.948  0.036 15.440  94.817  3.183
56275.1394 13.242  0.037 15.711  72.340  2.481
56279.6854 13.548  0.038 15.985  54.557  1.926
56283.0508 13.722  0.040 16.121  46.474  1.700
56287.4624 13.900  0.040 16.298  39.428  1.444
56291.1749 14.054  0.042 16.398  34.239  1.318
56295.5187 14.228  0.043 16.532  29.164  1.164
56299.7252 14.362  0.045 16.625  25.781  1.069
56303.4642 14.398  0.046 16.638  24.934  1.056
56314.1870 14.723  0.047 16.951  18.484  0.792
56315.5615 14.768  0.047 16.995  17.739  0.760
56320.5237 14.925  0.051 17.046  15.349  0.725
56326.2626 15.045  0.054 17.108  13.742  0.685
56332.3568 15.107  0.056 17.134  12.973  0.669
56338.5639 15.378  0.062 17.302  10.116  0.573
56344.0780 15.509  0.064 17.396   8.959  0.526
56350.2446 15.621  0.071 17.397   8.084  0.525
56356.3267 15.787  0.072 17.539   6.939  0.460
56362.0666 15.791  0.075 17.506   6.910  0.475
#                                                                                         
#                                                                                         
