# SN2009ip magnitudes from Swift UVOT                                                        
# generated Fri Oct 2 21:26:56 CDT 2015 using version 2015.1                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel4.2(Bld31)_25Nov2013 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
# Original reference for Swift observations:                                        
# Pastorello, A., et al 2013, ApJ ,767, 1
# Margutti, R., et al. 2013arXiv1306.0038M#                                                                                    
# If necessary, the data have been reanalyzed with the revised zeropoints             
# and sensitivity corrections of Breeveld et al. 2011.                                
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
# V              0.247999      0.0850889
# B              0.440644       0.126367
# U              0.148791      0.0647553
# UVW1          0.0220830      0.0175512
# UVM2         0.00626645     0.00733659
# UVW2          0.0376808     0.00871855
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
UVW2     55084.6799  21.114   0.268  21.535  11.085   0.032   0.008  3.0  0.0110    3250.09   40937.26
UVW2     56174.9004  17.876   0.095  20.793  11.085   0.633   0.055  3.0  0.0110     636.49    5921.21
UVW2     56176.6373  17.933   0.103  20.655  11.085   0.601   0.057  3.0  0.0110     476.90    5965.53
UVW2     56183.4388  19.225   0.157  20.720  11.085   0.183   0.026  3.0  0.0110     553.68    6533.04
UVW2     56192.7657  20.397   0.191  21.333  11.085   0.062   0.011  3.0  0.0110    1889.07   12324.65
UVW2     56196.3420  12.828   0.040  20.817  11.085  66.164   2.426  5.0  0.0110    1437.06   18356.95
UVW2     56197.4572  12.653   0.040  19.658  11.085  77.768   2.892  5.0  0.0110     227.29   11621.70
UVW2     56197.7054  12.533   0.040  19.496  11.085  86.895   3.217  5.0  0.0110     221.50     225.05
UVW2     56198.4762  12.428   0.040  20.218  11.085  95.641   3.492  5.0  0.0110     754.01   74253.12
UVW2     56199.6532  12.321   0.040  19.908  11.085 105.586   3.860  5.0  0.0110     378.70     384.77
UVW2     56200.4910  12.258   0.040  19.914  11.085 111.936   4.084  5.0  0.0110     419.50   40202.27
UVW2     56200.9867  12.207   0.040  19.456  11.085 117.274   4.292  5.0  0.0110     223.20     226.78
UVW2     56201.4312  12.242   0.040  19.789  11.085 113.526   4.145  5.0  0.0110     353.24   63737.95
UVW2     56201.9867  12.197   0.040  19.394  11.085 118.386   4.332  5.0  0.0110     223.20     226.78
UVW2     56202.2564  12.217   0.040  19.369  11.085 116.239   4.255  5.0  0.0110     240.90     244.77
UVW2     56203.0615  12.235   0.040  19.340  11.085 114.288   4.189  5.0  0.0110     213.36     216.77
UVW2     56203.3944  12.256   0.040  19.183  11.085 112.109   4.122  5.0  0.0110     155.32   46338.19
UVW2     56204.0550  12.161   0.040  19.266  11.085 122.333   4.477  5.0  0.0110     200.56     203.78
UVW2     56204.4975  12.134   0.040  19.707  11.085 125.483   4.573  5.0  0.0110     319.83   17352.31
UVW2     56205.5315  12.134   0.040  19.839  11.085 125.392   4.565  5.0  0.0110     397.16   22642.12
